file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,getAvgConsumption/0,avgConsumption,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,toDbObject/0,vehicletype,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,toDbObject/0,fuel,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,toDbObject/0,co2PerVehicle,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,toDbObject/0,avgConsumption,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,getFuel/0,fuel,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,getVehicletype/0,vehicletype,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",vehicletype,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",fuel,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",co2PerVehicle,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",avgConsumption,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,VehicleListEntry/1[groupxii.database.BSONObject],vehicletype,1
