file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",vehicletype,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",fuel,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",co2PerVehicle,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,"VehicleListEntry/4[java.lang.String,double,java.lang.String,int]",avgConsumption,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/database/VehicleListEntry.java,groupxii.database.VehicleListEntry,VehicleListEntry/1[groupxii.database.BSONObject],object,9
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/server/controllers/ProtectedControllerTest.java,groupxii.server.controllers.ProtectedControllerTest,protectedEndpoint/0,principal,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/test/java/groupxii/server/controllers/ProtectedControllerTest.java,groupxii.server.controllers.ProtectedControllerTest,protectedEndpoint/0,username,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,getUsedVehicleList/1[java.security.Principal],principal,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,getUsedVehicleList/1[java.security.Principal],user,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,getUsedVehicleList/1[java.security.Principal],usedVehicles,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,getUsedVehicleList/1[java.security.Principal],username,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,"calculateVehicle/4[java.lang.String,java.lang.Integer,java.lang.String,java.lang.Integer]",goodVehicleType,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,"calculateVehicle/4[java.lang.String,java.lang.Integer,java.lang.String,java.lang.Integer]",badVehicleType,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,"calculateVehicle/4[java.lang.String,java.lang.Integer,java.lang.String,java.lang.Integer]",badAvgConsumption,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/GoGreen-0.1.3/server/src/main/java/groupxii/server/controllers/TransportationController.java,groupxii.server.controllers.TransportationController,"calculateVehicle/4[java.lang.String,java.lang.Integer,java.lang.String,java.lang.Integer]",goodAvgConsumption,1
