file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,testCreateMenuWithTextAndMnemonic/0,false,96,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,testCreateMenuItemWithAll/0,false,103,4,1,0,1,2,11,16,0,3,0,11,0,0,0,0,0,0,7,0,2,0,1,0,0,1,14,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,testCreateMenuItemWithTextOnly/0,false,122,3,1,0,1,1,6,8,0,2,0,6,0,0,0,0,0,0,2,0,1,0,1,0,0,1,11,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,testInstallMnemonic/0,false,87,2,1,0,1,1,2,6,0,0,0,2,1,1,0,0,0,0,12,0,0,0,0,0,0,0,5,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,"installMnemonic/2[java.lang.String,java.lang.String]",false,52,0,1,1,0,2,3,10,2,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,setupClass/0,false,67,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,TestMenuFactory/0,true,46,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/gui/TestMenuFactory.java,ca.mcgill.cs.jetuml.gui.TestMenuFactory,setup/0,false,73,4,2,0,2,1,9,10,0,3,0,9,0,0,0,0,0,0,2,0,4,0,0,0,0,0,15,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/nodes/TestPackageNode.java,ca.mcgill.cs.jetuml.diagram.nodes.TestPackageNode,testDefault/0,false,50,3,3,0,3,1,7,5,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/JetUML-3.1/test/ca/mcgill/cs/jetuml/diagram/nodes/TestPackageNode.java,ca.mcgill.cs.jetuml.diagram.nodes.TestPackageNode,testRemoveChild/0,false,95,4,5,0,5,1,9,17,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,1,0,false
