file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],false,165,3,7,0,7,2,9,12,0,0,1,9,0,0,0,0,1,0,1,0,1,0,1,0,0,0,13,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,138,1,10,0,10,1,3,5,0,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,156,1,10,0,10,1,3,5,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],false,148,2,7,0,7,2,5,11,0,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous1,focusGained/1[java.awt.event.FocusEvent],false,147,0,0,0,0,2,4,4,0,0,1,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,7,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous1,focusLost/1[java.awt.event.FocusEvent],false,138,0,0,0,0,2,4,6,0,0,1,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,7,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity,displayStatusMessages/1[java.lang.String],false,299,0,2,2,0,1,5,10,0,1,1,5,0,0,0,0,0,0,1,1,3,0,0,0,0,0,13,2,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity,ChatActivity/1[com.chatroom.client.ClientModel],true,68,5,10,2,8,1,15,40,0,5,1,15,2,2,0,0,0,0,13,50,23,1,0,0,0,0,70,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity,ListeningEvents/0,false,135,0,2,1,1,1,11,104,0,4,0,11,0,0,0,0,0,0,0,1,4,0,0,7,0,0,57,2,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity,"setReceiverMessage/2[java.lang.String,java.lang.String]",false,310,1,2,1,1,3,9,16,0,2,2,9,1,1,0,0,0,0,5,2,6,1,2,0,0,0,20,2,0,false
