file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],e,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],e1,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],password,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],username,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],e,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/SignUpActivity.java,com.chatroom.ui.SignUpActivity$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],e1,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous1,focusGained/1[java.awt.event.FocusEvent],e,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LiveChatServer-4.1/src/com/chatroom/ui/ChatActivity.java,com.chatroom.ui.ChatActivity$Anonymous1,focusLost/1[java.awt.event.FocusEvent],e,0
