file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/file/OutsideRangeQueryResult.java,com.athaydes.logfx.file.OutsideRangeQueryResult,fileLineNumber/0,false,24,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,8,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/file/OutsideRangeQueryResult.java,com.athaydes.logfx.file.OutsideRangeQueryResult,isSuccess/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/file/OutsideRangeQueryResult.java,com.athaydes.logfx.file.OutsideRangeQueryResult,isAfterRange/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/file/OutsideRangeQueryResult.java,com.athaydes.logfx.file.OutsideRangeQueryResult,isBeforeRange/0,false,29,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/file/OutsideRangeQueryResult.java,com.athaydes.logfx.file.OutsideRangeQueryResult,OutsideRangeQueryResult/1[boolean],true,14,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,"repeat/3[int,java.time.Duration,java.lang.Runnable]",false,154,2,2,0,2,2,6,17,1,3,3,6,1,1,0,0,1,0,0,1,3,0,3,0,0,1,13,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,TaskRunner/0,true,40,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,"scheduleRepeatingTask/2[java.time.Duration,java.lang.Runnable]",false,172,1,2,2,0,1,3,4,1,1,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,shutdown/0,false,179,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,"runWithMaxFrequency/2[java.lang.Runnable,long]",false,86,2,4,3,1,9,11,55,0,4,2,11,1,0,0,1,1,0,6,1,6,0,4,0,0,3,67,1,5,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,getGlobalInstance/0,false,57,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,runAsync/1[java.lang.Runnable],false,66,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/concurrency/TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,TaskRunner/1[boolean],true,44,0,0,0,0,1,2,8,1,2,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,6,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/BottomMessagePane.java,com.athaydes.logfx.ui.BottomMessagePane,"setShow/2[boolean,java.lang.Runnable]",false,28,4,2,1,1,2,5,6,0,3,2,5,1,1,0,0,0,0,0,1,2,0,0,0,0,1,17,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/LogFX-0.9.1/src/main/java/com/athaydes/logfx/ui/BottomMessagePane.java,com.athaydes.logfx.ui.BottomMessagePane,warningIfFiltersEnabled/0,false,18,2,1,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,9,0,false
