file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"readHomeXML/2[java.io.InputStream,com.eteks.sweethome3d.io.HomeContentContext]",xmlHandler,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/4[java.io.InputStream,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.model.UserPreferences,boolean]",preferences,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/4[java.io.InputStream,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.model.UserPreferences,boolean]",preferPreferencesContent,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/4[java.io.InputStream,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.model.UserPreferences,boolean]",contentRecording,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,readHome/0,xmlHandler,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,readHome/0,preferences,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,readHome/0,preferPreferencesContent,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,readHome/0,contentRecording,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,readHome/0,zipFile,11
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/2[java.io.InputStream,com.eteks.sweethome3d.io.ContentRecording]",contentRecording,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.File,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",xmlHandler,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.File,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",preferences,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.File,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",preferPreferencesContent,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.File,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",contentRecording,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.File,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",zipFile,5
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.InputStream,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",xmlHandler,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/SweetHome3D-5.6/src/com/eteks/sweethome3d/io/DefaultHomeInputStream.java,com.eteks.sweethome3d.io.DefaultHomeInputStream,"DefaultHomeInputStream/5[java.io.InputStream,com.eteks.sweethome3d.io.ContentRecording,com.eteks.sweethome3d.io.HomeXMLHandler,com.eteks.sweethome3d.model.UserPreferences,boolean]",preferences,4
