file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/main/Tools.java,freemind.main.Tools$BooleanHolder,setValue/1[boolean],value,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/main/Tools.java,freemind.main.Tools$BooleanHolder,BooleanHolder/1[boolean],initialValue,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"changeSelection/4[int,int,boolean,boolean]",extend,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"changeSelection/4[int,int,boolean,boolean]",rowIndex,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"changeSelection/4[int,int,boolean,boolean]",columnIndex,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"changeSelection/4[int,int,boolean,boolean]",toggle,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"changeSelection/4[int,int,boolean,boolean]",rowCount,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"processKeyBinding/4[javax.swing.KeyStroke,java.awt.event.KeyEvent,int,boolean]",editor,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"processKeyBinding/4[javax.swing.KeyStroke,java.awt.event.KeyEvent,int,boolean]",condition,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/freemind-1.0.0/freemind/view/mindmapview/attributeview/AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"processKeyBinding/4[javax.swing.KeyStroke,java.awt.event.KeyEvent,int,boolean]",leadColumn,2
