file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,innerclass,6,6,0,6,2,1,0,5,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,1,0,0,3,0,3,0,0,0,0,13,25,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ToolsActions.java,net.azib.ipscan.gui.actions.ToolsActions$SelectAlive,innerclass,3,3,0,3,3,2,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,class,2,5,3,2,14,1,0,30,22,0.7916667,0.10714286,0.10714286,8,1,4,0,0,4,8,0,0,0,3,0,0,1,0,2,0,0,2,62,5,2,5,0,6,6,49,19,11,17,2,0,0,0,58,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/test/net/azib/ipscan/core/net/ICMPSharedPingerTest.java,net.azib.ipscan.core.net.ICMPSharedPingerTest,class,6,6,0,6,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,5,2,0,2,0,0,0,0,22,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/test/net/azib/ipscan/core/ScannerTest.java,net.azib.ipscan.core.ScannerTest$AnotherFakeFetcher,innerclass,2,2,0,2,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/values/NotAvailable.java,net.azib.ipscan.core.values.NotAvailable,class,3,5,2,3,4,2,0,3,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,12,3,0,1,0,0,0,0,1,0,1,1,0,0,0,36,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/test/net/azib/ipscan/di/InjectorTest.java,net.azib.ipscan.di.InjectorTest$WithListDeps,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,8,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/AboutDialog.java,net.azib.ipscan.gui.AboutDialog,class,8,11,3,8,5,2,0,28,6,0.0,0.0,0.0,4,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,10,48,2,0,1,0,0,31,13,12,12,13,1,0,0,1,88,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/test/net/azib/ipscan/util/InetAddressUtilsTest.java,net.azib.ipscan.util.InetAddressUtilsTest,class,3,3,0,3,10,1,0,18,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,77,89,0,0,0,0,0,100,0,5,0,3,0,0,0,0,43,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ToolsActions.java,net.azib.ipscan.gui.actions.ToolsActions$SelectWithPorts,innerclass,3,3,0,3,3,2,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,25,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/net/ICMPSharedPinger.java,net.azib.ipscan.core.net.ICMPSharedPinger$PacketReceiverThread,innerclass,8,8,0,8,15,2,0,28,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,64,0,1,4,3,1,9,7,8,3,7,4,0,0,0,59,2,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/state/ScanningState.java,net.azib.ipscan.core.state.ScanningState,enum,1,18,17,1,6,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,1,0,0,0,29,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/CommandsMenuActions.java,net.azib.ipscan.gui.actions.CommandsMenuActions$Delete,innerclass,4,4,0,4,6,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,2,0,0,0,1,4,0,3,1,0,0,0,13,25,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ScanMenuActions.java,net.azib.ipscan.gui.actions.ScanMenuActions,class,2,2,0,2,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/ScanningResultList.java,net.azib.ipscan.core.ScanningResultList,class,12,36,24,12,38,1,0,31,76,0.8148148,0.32105264,0.9,21,0,20,1,0,0,20,0,0,10,9,1,0,8,0,1,1,0,2,165,17,5,7,0,0,1,8,23,2,17,3,0,2,0,164,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/exporters/IPListExporter.java,net.azib.ipscan.exporters.IPListExporter,class,6,10,4,6,10,2,0,7,13,0.72222227,0.06666667,0.06666667,6,1,5,0,0,1,6,0,0,0,3,1,0,2,0,1,1,0,3,35,3,2,0,0,0,3,1,8,1,8,2,0,0,0,58,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$ColumnClick,innerclass,10,10,0,10,4,1,0,15,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,4,25,0,0,2,0,0,7,3,7,3,7,1,0,0,0,22,25,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/fetchers/MACVendorFetcher.java,net.azib.ipscan.fetchers.MACVendorFetcher,class,4,7,3,4,10,2,0,11,4,0.6,0.2,0.2,5,0,4,0,0,1,5,0,0,0,3,2,1,2,0,0,1,0,0,34,3,1,3,1,1,2,9,8,1,7,3,0,0,0,32,1,0
