file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,FetcherPreferences/1[net.azib.ipscan.fetchers.FetcherRegistry],fetcherRegistry,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,handleEvent/1[net.azib.ipscan.gui.actions.Event],fetcherRegistry,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,MDNSResolver/1[int],socket,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,close/0,socket,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,resolve/1[java.net.InetAddress],mdnsPort,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,resolve/1[java.net.InetAddress],mdnsIP,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,resolve/1[java.net.InetAddress],socket,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/test/net/azib/ipscan/di/InjectorTest.java,net.azib.ipscan.di.InjectorTest$WithListDeps,"WithListDeps/2[java.util.List<java.time.temporal.Temporal>,net.azib.ipscan.di.InjectorTest.Dummy]",list,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/state/ScanningState.java,net.azib.ipscan.core.state.ScanningState,next/0,STARTING,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/state/ScanningState.java,net.azib.ipscan.core.state.ScanningState,next/0,KILLING,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/core/state/ScanningState.java,net.azib.ipscan.core.state.ScanningState,next/0,IDLE,1
