file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,FetcherPreferences/1[net.azib.ipscan.fetchers.FetcherRegistry],fetcherRegistry,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,handleEvent/1[net.azib.ipscan.gui.actions.Event],fetcher,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,handleEvent/1[net.azib.ipscan.gui.actions.Event],tableColumn,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ColumnsActions.java,net.azib.ipscan.gui.actions.ColumnsActions$FetcherPreferences,handleEvent/1[net.azib.ipscan.gui.actions.Event],event,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ToolsActions.java,net.azib.ipscan.gui.actions.ToolsActions$SelectAlive,SelectAlive/1[net.azib.ipscan.gui.ResultTable],resultTable,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/gui/actions/ToolsActions.java,net.azib.ipscan.gui.actions.ToolsActions$SelectAlive,isDesired/1[net.azib.ipscan.core.ScanningResult.ResultType],type,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,MDNSResolver/1[int],timeout,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,"dnsRequest/2[int,java.lang.String]",name,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,"dnsRequest/2[int,java.lang.String]",id,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,"dnsRequest/2[int,java.lang.String]",baos,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,"dnsRequest/2[int,java.lang.String]",out,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/ipscan-3.7.3/src/net/azib/ipscan/util/MDNSResolver.java,net.azib.ipscan.util.MDNSResolver,"decodeName/3[byte[],int,int]",s,4
