file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,class,4,5,1,4,8,5,0,39,3,0.6666667,0.4,0.4,6,0,6,0,0,0,6,0,0,0,4,2,0,4,0,0,4,0,9,60,3,0,0,0,0,1,2,7,1,12,1,0,1,5,67,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,class,3,7,4,3,7,1,0,5,10,0.0,0.0,0.0,5,4,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,31,4,1,0,1,0,1,3,7,0,5,1,0,0,0,109,17,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,class,7,19,12,7,38,6,0,61,108,0.9114583,0.0,0.0,16,10,8,8,0,0,8,0,0,0,12,11,9,3,0,0,11,0,37,210,9,2,6,4,2,41,37,46,5,33,3,0,0,0,165,17,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/StatusPanel.java,jpass.ui.StatusPanel,class,1,3,2,1,5,5,0,8,0,0.5833333,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,3,0,0,25,1,0,0,0,0,2,5,3,0,3,0,0,0,0,33,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/DateUtils.java,jpass.util.DateUtils,class,1,3,2,1,3,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,4,23,1,0,0,2,0,3,1,6,0,4,1,0,0,0,33,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/action/MenuActionType.java,jpass.ui.action.MenuActionType$Anonymous20,anonymous,2,2,0,2,1,1,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/action/AbstractMenuAction.java,jpass.ui.action.AbstractMenuAction,class,0,1,1,0,2,2,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,10,0,0,1,0,0,0,1,1,0,1,1,0,0,0,35,1025,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/ClipboardUtils.java,jpass.util.ClipboardUtils,class,2,7,5,2,13,1,0,9,6,0.75,0.0,0.0,4,3,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,5,51,2,0,3,3,0,2,0,5,0,4,2,0,1,0,49,17,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/data/DataModel.java,jpass.data.DataModel,class,4,15,11,4,16,1,0,10,53,0.7857143,0.24358974,0.7051282,14,1,13,1,0,0,13,0,7,1,5,1,0,5,0,0,0,0,1,58,9,0,2,0,0,0,1,13,0,6,1,0,0,0,55,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/helper/FileHelper.java,jpass.ui.helper.FileHelper$Anonymous2,anonymous,4,4,0,4,2,1,0,10,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,1,0,1,0,0,1,0,1,0,0,0,16,-1,0
