file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,addRow/1[jpass.xml.bind.Entry],entry,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,addRow/1[jpass.xml.bind.Entry],detail,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"prepareRenderer/3[javax.swing.table.TableCellRenderer,int,int]",rendererWidth,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"prepareRenderer/3[javax.swing.table.TableCellRenderer,int,int]",renderer,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"prepareRenderer/3[javax.swing.table.TableCellRenderer,int,int]",component,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"prepareRenderer/3[javax.swing.table.TableCellRenderer,int,int]",column,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"prepareRenderer/3[javax.swing.table.TableCellRenderer,int,int]",row,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"prepareRenderer/3[javax.swing.table.TableCellRenderer,int,int]",tableColumn,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,EntryDetailsTable/0,name,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,EntryDetailsTable/0,detail,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"isCellEditable/2[int,int]",column,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/EntryDetailsTable.java,jpass.ui.EntryDetailsTable,"isCellEditable/2[int,int]",row,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,getPKCS5Sha256Hash/1[char[]],text,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,newRandomNumberGenerator/0,ret,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,newRandomNumberGenerator/0,e,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,getSha256Hash/1[char[]],text,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,"getSha256Hash/2[char[],int]",bytes,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,"getSha256Hash/2[char[],int]",md,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,"getSha256Hash/2[char[],int]",digest,5
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,"getSha256Hash/2[char[],int]",iteration,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,"getSha256Hash/2[char[],int]",i,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/util/CryptUtils.java,jpass.util.CryptUtils,"getSha256Hash/2[char[],int]",text,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,getResourceAsString/1[java.lang.String],bufferedReader,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,getResourceAsString/1[java.lang.String],e,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,getResourceAsString/1[java.lang.String],line,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,getResourceAsString/1[java.lang.String],name,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,getResourceAsString/1[java.lang.String],builder,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,getResourceAsString/1[java.lang.String],is,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,"showQuestionMessage/3[java.awt.Component,java.lang.String,int]",optionType,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,"showQuestionMessage/3[java.awt.Component,java.lang.String,int]",parent,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,"showQuestionMessage/3[java.awt.Component,java.lang.String,int]",message,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/jpass-0.1.20/src/main/java/jpass/ui/MessageDialog.java,jpass.ui.MessageDialog,"initializeDialog/5[java.awt.Component,java.lang.Object,java.lang.String,javax.swing.ImageIcon,int]",optionType,1
