file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,X509CertificateGenerator/1[org.kse.crypto.x509.X509CertificateVersion],version,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",privateKey,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",extensions,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",serialNumber,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",provider,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",validityEnd,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",name,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",signatureType,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",validityStart,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/keystore-explorer-5.4.4/kse/src/org/kse/crypto/x509/X509CertificateGenerator.java,org.kse.crypto.x509.X509CertificateGenerator,"generateSelfSigned/9[org.kse.crypto.x509.X500Name,java.util.Date,java.util.Date,java.security.PublicKey,java.security.PrivateKey,org.kse.crypto.signing.SignatureType,java.math.BigInteger,java.security.cert.X509Extension,java.security.Provider]",publicKey,1
