file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,getMasterKeySignerAlgorithm/0,masterKeySignerAlgorithm,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,getSecretKeyEncryptionAlgorithmForOptionalPassphrase/1[boolean],secretKeyEncryptionAlgorithm,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,setMasterKeyAlgorithm/1[java.lang.String],masterKeyAlgorithm,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,setMasterKeyAlgorithm/1[java.lang.String],masterKeyParameters,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,getDhParamsPrimeModulus/0,dhParamsPrimeModulus,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,getEncryptionKeyPurpose/0,encryptionKeyPurpose,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,getSecretKeyHashingAlgorithm/0,secretKeyHashingAlgorithm,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,setSecretKeyHashingAlgorithm/1[java.lang.String],secretKeyHashingAlgorithm,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,setSecretKeyEncryptionAlgorithm/1[java.lang.String],secretKeyEncryptionAlgorithm,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Desktop/pgptool-0.5.9.2/pgptool-gui/src/main/java/org/pgptool/gui/encryption/implpgp/KeyGeneratorServicePgpImpl.java,org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,getOrGenerateKeyPair/1[org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl.KeyPairParams],pregeneratedKeyPairs,1
