file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getAppbarLayout/0,appbarLayout,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,setTitle/1[java.lang.String],toolbar,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getSearchView/0,searchView,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getBottomBar/0,bottomBar,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,setTitle/1[int],toolbar,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,"AppBar/3[com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.views.appbar.SharedPreferences,com.amaze.filemanager.ui.views.appbar.SearchView.SearchListener]",toolbar,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,"AppBar/3[com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.views.appbar.SharedPreferences,com.amaze.filemanager.ui.views.appbar.SearchView.SearchListener]",bottomBar,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,"AppBar/3[com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.views.appbar.SharedPreferences,com.amaze.filemanager.ui.views.appbar.SearchView.SearchListener]",TOOLBAR_START_INSET,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,"AppBar/3[com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.views.appbar.SharedPreferences,com.amaze.filemanager.ui.views.appbar.SearchView.SearchListener]",searchView,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,"AppBar/3[com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.views.appbar.SharedPreferences,com.amaze.filemanager.ui.views.appbar.SearchView.SearchListener]",appbarLayout,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getToolbar/0,toolbar,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,"reportError/4[com.amaze.filemanager.crashreport.Context,java.lang.Throwable,com.amaze.filemanager.crashreport.View,com.amaze.filemanager.crashreport.ErrorActivity.ErrorInfo]",errorInfo,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildJson/0,errorList,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildJson/0,userCommentBox,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildJson/0,currentTimeStamp,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildJson/0,TAG,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,goToReturnActivity/0,returnActivity,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildInfo/1[com.amaze.filemanager.crashreport.ErrorActivity.ErrorInfo],currentTimeStamp,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildMarkdown/0,errorList,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildMarkdown/0,userCommentBox,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildMarkdown/0,TAG,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],returnActivity,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],ERROR_GITHUB_ISSUE_URL,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],errorList,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],userCommentBox,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],errorInfo,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],ERROR_LIST,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,onCreate/1[com.amaze.filemanager.crashreport.Bundle],currentTimeStamp,1
