file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getAppbarLayout/0,false,84,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,setTitle/1[java.lang.String],false,88,0,5,5,0,2,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getSearchView/0,false,76,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getBottomBar/0,false,80,1,11,11,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,setTitle/1[int],false,92,1,0,0,0,2,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,"AppBar/3[com.amaze.filemanager.ui.activities.MainActivity,com.amaze.filemanager.ui.views.appbar.SharedPreferences,com.amaze.filemanager.ui.views.appbar.SearchView.SearchListener]",true,54,6,3,1,2,3,7,13,0,1,3,7,0,0,0,0,0,0,0,3,6,0,1,0,0,0,27,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/ui/views/appbar/AppBar.java,com.amaze.filemanager.ui.views.appbar.AppBar,getToolbar/0,false,72,1,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,"reportError/4[com.amaze.filemanager.crashreport.Context,java.lang.Throwable,com.amaze.filemanager.crashreport.View,com.amaze.filemanager.crashreport.ErrorActivity.ErrorInfo]",false,136,4,1,0,1,2,2,8,0,1,4,2,1,4,0,1,0,0,0,0,2,0,1,0,0,0,10,9,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,buildJson/0,false,326,2,1,0,1,2,9,22,2,1,0,9,1,1,0,0,1,0,13,0,1,0,1,0,0,0,14,2,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/AmazeFileManager-3.5.2/app/src/main/java/com/amaze/filemanager/crashreport/ErrorActivity.java,com.amaze.filemanager.crashreport.ErrorActivity,getCurrentTimeStamp/0,false,440,0,1,1,0,1,3,5,1,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,1,0,false
