file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countChars/1[it.feio.android.omninotes.models.Note],note,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countChars/1[it.feio.android.omninotes.models.Note],s,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countChars/1[it.feio.android.omninotes.models.Note],titleAndContent,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],note,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],field,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],endOfLine,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],count,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],i,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],fields,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/helpers/count/DefaultWordCounter.java,it.feio.android.omninotes.helpers.count.DefaultWordCounter,countWords/1[it.feio.android.omninotes.models.Note],word,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,showKeyboard/1[it.feio.android.omninotes.utils.View],inputManager,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,showKeyboard/1[it.feio.android.omninotes.utils.View],view,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,hideKeyboard/1[it.feio.android.omninotes.MainActivity],mActivity,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,isKeyboardShowed/1[it.feio.android.omninotes.utils.View],inputManager,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,isKeyboardShowed/1[it.feio.android.omninotes.utils.View],view,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,hideKeyboard/1[it.feio.android.omninotes.utils.View],view,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/KeyboardUtils.java,it.feio.android.omninotes.utils.KeyboardUtils,hideKeyboard/1[it.feio.android.omninotes.utils.View],imm,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/DetailFragment.java,it.feio.android.omninotes.DetailFragment$AttachmentOnClickListener,onClick/1[it.feio.android.omninotes.View],attachment,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/DetailFragment.java,it.feio.android.omninotes.DetailFragment$AttachmentOnClickListener,onClick/1[it.feio.android.omninotes.View],v,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,getItem/1[int],position,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,"getView/3[int,it.feio.android.omninotes.models.adapters.View,it.feio.android.omninotes.models.adapters.ViewGroup]",parent,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,"getView/3[int,it.feio.android.omninotes.models.adapters.View,it.feio.android.omninotes.models.adapters.ViewGroup]",mAttachment,9
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,"getView/3[int,it.feio.android.omninotes.models.adapters.View,it.feio.android.omninotes.models.adapters.ViewGroup]",holder,11
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,"getView/3[int,it.feio.android.omninotes.models.adapters.View,it.feio.android.omninotes.models.adapters.ViewGroup]",position,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/models/adapters/AttachmentAdapter.java,it.feio.android.omninotes.models.adapters.AttachmentAdapter,"getView/3[int,it.feio.android.omninotes.models.adapters.View,it.feio.android.omninotes.models.adapters.ViewGroup]",text,10
