file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,getDatabase/0,database,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,setDatabase/1[com.xiecc.seeWeather.modules.db.SQLiteDatabase],database,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,openDatabase/0,DB_PATH,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,openDatabase/0,database,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,openDatabase/0,DB_NAME,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,openDatabase/0,TAG,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,closeDatabase/0,database,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,openDatabase/1[java.lang.String],context,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,openDatabase/1[java.lang.String],BUFFER_SIZE,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/DBManager.java,com.xiecc.seeWeather.modules.db.DBManager,DBManager/1[com.xiecc.seeWeather.modules.db.Context],context,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,Setting/1[com.xiecc.seeWeather.modules.domain.Context],mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,"putString/2[java.lang.String,java.lang.String]",mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,"putBoolean/2[java.lang.String,boolean]",mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,getInstance/0,sInstance,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,"getBoolean/2[java.lang.String,boolean]",mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,"putInt/2[java.lang.String,int]",mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,"getString/2[java.lang.String,java.lang.String]",mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/domain/Setting.java,com.xiecc.seeWeather.modules.domain.Setting,"getInt/2[java.lang.String,int]",mPrefs,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/modules/db/WeatherDB.java,com.xiecc.seeWeather.modules.db.WeatherDB,WeatherDB/1[com.xiecc.seeWeather.modules.db.Context],context,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/PLog.java,com.xiecc.seeWeather.common.PLog,delFile/0,PATH,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/SeeWeather-2.03/app/src/main/java/com/xiecc/seeWeather/common/PLog.java,com.xiecc.seeWeather.common.PLog,delFile/0,PLOG_FILE_NAME,1
