file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/ui/Charts/DoubleLinearChartView.java,org.telegram.ui.Charts.DoubleLinearChartView,class,9,10,1,9,78,3,0,32,55,0.0,0.0,0.0,11,0,4,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,2,262,9,9,22,0,38,0,78,90,76,58,5,1,0,0,111,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/messenger/voip/AudioRecordJNI.java,org.telegram.messenger.voip.AudioRecordJNI,class,9,11,2,9,68,1,0,33,36,0.8,0.53333336,0.6666667,12,2,6,6,0,0,6,0,0,0,10,0,0,10,0,0,0,0,27,218,17,0,27,9,0,20,11,34,3,22,4,1,0,0,91,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/tgnet/TLRPC.java,org.telegram.tgnet.TLRPC$TL_updateReadHistoryOutbox,innerclass,4,4,0,4,2,2,0,4,0,0.1,1.0,1.0,2,0,2,0,0,0,2,0,0,0,5,1,5,0,0,0,0,0,1,20,0,0,0,0,0,0,1,5,0,5,0,0,0,0,25,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/tgnet/TLRPC.java,org.telegram.tgnet.TLRPC$TL_inputMessagesFilterPhotoVideo,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/ui/ProxySettingsActivity.java,org.telegram.ui.ProxySettingsActivity$Anonymous4,anonymous,1,1,0,1,5,1,0,1,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/ui/Components/ChatAttachAlertContactsLayout.java,org.telegram.ui.Components.ChatAttachAlertContactsLayout$UserCell,innerclass,10,10,0,10,62,2,0,30,7,0.7252747,0.33333334,0.71428573,7,0,5,0,2,0,7,0,0,0,13,0,0,13,0,0,0,0,0,144,3,0,32,0,11,8,41,28,5,17,3,0,0,0,55,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/ui/ProxySettingsActivity.java,org.telegram.ui.ProxySettingsActivity$Anonymous2,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/ui/ProxySettingsActivity.java,org.telegram.ui.ProxySettingsActivity$Anonymous3,anonymous,3,3,0,3,13,1,0,14,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,0,0,3,7,10,1,9,2,0,0,0,31,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/ui/Components/TextStyleSpan.java,org.telegram.ui.Components.TextStyleSpan$TextStyleRun,innerclass,4,4,0,4,25,1,0,5,0,0.5833333,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,0,59,5,0,11,0,8,3,8,9,0,5,1,0,0,0,38,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telegram-6.1.1_1946/TMessagesProj/src/main/java/org/telegram/messenger/camera/CameraSession.java,org.telegram.messenger.camera.CameraSession$Anonymous1,anonymous,2,2,0,2,7,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,4,0,0,0,0,5,0,2,2,0,0,0,32,-1,0
