file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/lastfmapi/callbacks/AlbumInfoListener.java,com.naman14.timber.lastfmapi.callbacks.AlbumInfoListener,albumInfoSuccess/1[com.naman14.timber.lastfmapi.models.LastfmAlbum],album,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,onCreate/1[com.naman14.timber.provider.SQLiteDatabase],db,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,queryRecentIds/1[java.lang.String],database,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,queryRecentIds/1[java.lang.String],limit,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],database,6
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],oldest,9
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],mostRecentItem,7
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],values,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],timeOfRecordToKeep,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],songId,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,RecentStore/1[com.naman14.timber.provider.Context],context,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,deleteAll/0,database,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,getInstance/1[com.naman14.timber.provider.Context],context,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,removeItem/1[long],database,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,removeItem/1[long],songId,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,"onUpgrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",oldVersion,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,"onUpgrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",db,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,"onUpgrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",newVersion,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,"onDowngrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",oldVersion,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,"onDowngrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",db,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/provider/RecentStore.java,com.naman14.timber.provider.RecentStore,"onDowngrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",newVersion,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/fragments/QueueFragment.java,com.naman14.timber.fragments.QueueFragment$loadQueueSongs,doInBackground/1[java.lang.String[]],params,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/fragments/QueueFragment.java,com.naman14.timber.fragments.QueueFragment$loadQueueSongs,onPostExecute/1[java.lang.String],result,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/fragments/QueueFragment.java,com.naman14.timber.fragments.QueueFragment$loadQueueSongs,onPostExecute/1[java.lang.String],dragSortRecycler,5
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/dialogs/CreatePlaylistDialog.java,com.naman14.timber.dialogs.CreatePlaylistDialog$Anonymous1,"onInput/2[com.naman14.timber.dialogs.MaterialDialog,java.lang.CharSequence]",dialog,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/dialogs/CreatePlaylistDialog.java,com.naman14.timber.dialogs.CreatePlaylistDialog$Anonymous1,"onInput/2[com.naman14.timber.dialogs.MaterialDialog,java.lang.CharSequence]",input,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/dialogs/CreatePlaylistDialog.java,com.naman14.timber.dialogs.CreatePlaylistDialog$Anonymous1,"onInput/2[com.naman14.timber.dialogs.MaterialDialog,java.lang.CharSequence]",playistId,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/dialogs/CreatePlaylistDialog.java,com.naman14.timber.dialogs.CreatePlaylistDialog$Anonymous1,"onInput/2[com.naman14.timber.dialogs.MaterialDialog,java.lang.CharSequence]",songs,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/nowplaying/Timber6.java,com.naman14.timber.nowplaying.Timber6,updateRepeatState/0,builder,9
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/nowplaying/Timber6.java,com.naman14.timber.nowplaying.Timber6,updateShuffleState/0,builder,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/nowplaying/Timber6.java,com.naman14.timber.nowplaying.Timber6,"onCreateView/3[com.naman14.timber.nowplaying.LayoutInflater,com.naman14.timber.nowplaying.ViewGroup,com.naman14.timber.nowplaying.Bundle]",container,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/nowplaying/Timber6.java,com.naman14.timber.nowplaying.Timber6,"onCreateView/3[com.naman14.timber.nowplaying.LayoutInflater,com.naman14.timber.nowplaying.ViewGroup,com.naman14.timber.nowplaying.Bundle]",savedInstanceState,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Timber-1.8/app/src/main/java/com/naman14/timber/nowplaying/Timber6.java,com.naman14.timber.nowplaying.Timber6,"onCreateView/3[com.naman14.timber.nowplaying.LayoutInflater,com.naman14.timber.nowplaying.ViewGroup,com.naman14.timber.nowplaying.Bundle]",rootView,8
