file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/UserFeedFragment.java,com.tweetlanes.android.core.view.UserFeedFragment$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,innerclass,2,2,0,2,20,1,0,7,24,0.6964286,0.4,0.56666666,16,0,16,0,0,0,16,0,0,0,7,0,0,0,0,7,3,0,0,69,12,0,3,0,1,4,1,10,3,8,1,0,1,0,44,9,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/ConsumerKeyConstants.java,com.tweetlanes.android.core.ConsumerKeyConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/UserFeedFragment.java,com.tweetlanes.android.core.view.UserFeedFragment$Anonymous5,anonymous,6,6,0,6,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,3,0,0,0,0,3,0,1,3,1,0,0,18,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/UserFeedFragment.java,com.tweetlanes.android.core.view.UserFeedFragment$Anonymous2,anonymous,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,1,0,0,0,12,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/UserFeedFragment.java,com.tweetlanes.android.core.view.UserFeedFragment$Anonymous3,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,2,0,0,0,1,3,0,1,3,1,0,0,16,-1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/AppSettings.java,com.tweetlanes.android.core.AppSettings$DisplayTimeFormat,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/widget/urlimageviewhelper/UrlImageViewHelper.java,com.tweetlanes.android.core.widget.urlimageviewhelper.UrlImageViewHelper$Loader,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1034,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/TweetFeedItemView.java,com.tweetlanes.android.core.view.TweetFeedItemView$Callbacks,interface,5,5,0,5,8,1,0,0,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/inscription/ChangeLogDialog.java,com.inscription.ChangeLogDialog$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
