file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getType/0,type,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",start,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",end,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",type,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",value,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,hashCode/0,start,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,hashCode/0,end,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,hashCode/0,type,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,hashCode/0,value,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,toString/0,start,1
