file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/UserFeedFragment.java,com.tweetlanes.android.core.view.UserFeedFragment$Anonymous1,addValues/1[com.tweetlanes.android.core.view.Bundle],false,76,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getType/0,false,97,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",true,38,1,1,1,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,hashCode/0,false,71,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,toString/0,false,77,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getExpandedURL/0,false,109,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,setExpandedURL/1[java.lang.String],false,113,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,equals/1[java.lang.Object],false,55,1,0,0,0,5,2,10,3,1,1,2,0,0,0,3,0,1,0,0,1,0,1,0,0,0,7,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int,int]",true,49,1,0,0,0,1,3,3,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/3[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int]",true,42,1,3,3,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getValue/0,false,89,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getStart/0,false,81,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getListSlug/0,false,93,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/5[int,int,java.lang.String,java.lang.String,com.twitter.Extractor.Entity.Type]",true,30,1,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,getEnd/0,false,85,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
