file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/TweetLanesCore/src/com/tweetlanes/android/core/view/UserFeedFragment.java,com.tweetlanes.android.core.view.UserFeedFragment$Anonymous1,addValues/1[com.tweetlanes.android.core.view.Bundle],args,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",start,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",end,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",type,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[int,int,java.lang.String,com.twitter.Extractor.Entity.Type]",value,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,setExpandedURL/1[java.lang.String],expandedURL,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,equals/1[java.lang.Object],other,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,equals/1[java.lang.Object],obj,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int,int]",startOffset,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int,int]",matcher,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int,int]",type,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/4[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int,int]",groupNumber,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/3[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int]",matcher,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/3[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int]",type,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/3[java.util.regex.Matcher,com.twitter.Extractor.Entity.Type,int]",groupNumber,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/5[int,int,java.lang.String,java.lang.String,com.twitter.Extractor.Entity.Type]",start,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/5[int,int,java.lang.String,java.lang.String,com.twitter.Extractor.Entity.Type]",end,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/5[int,int,java.lang.String,java.lang.String,com.twitter.Extractor.Entity.Type]",type,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/5[int,int,java.lang.String,java.lang.String,com.twitter.Extractor.Entity.Type]",value,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/TweetLanes-1.4.1/android/libraries/SocialNetLib/src/com/twitter/Extractor.java,com.twitter.Extractor$Entity,"Entity/5[int,int,java.lang.String,java.lang.String,com.twitter.Extractor.Entity.Type]",listSlug,2
