file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,enableArchiveAction/0,account,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,enableSpamAction/0,account,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,verifyNumberOfActions/1[int],builder,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,disableSpamAction/0,account,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,testBuildStackedNotification/0,notification,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,testBuildStackedNotification/0,wearNotifications,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,testBuildStackedNotification/0,actionCreator,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,testBuildStackedNotification/0,account,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,"verifyAddAction/3[int,java.lang.String,com.fsck.k9.notification.PendingIntent]",builder,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/k-9-5.600/k9mail/src/test/java/com/fsck/k9/notification/WearNotificationsTest.java,com.fsck.k9.notification.WearNotificationsTest,createNotificationData/1[java.util.ArrayList<com.fsck.k9.activity.MessageReference>],account,1
