file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/GroupActivity.java,com.keepassdroid.GroupActivity$Anonymous2,onClick/1[com.keepassdroid.View],v,0
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,run/0,save,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,"UpdateEntry/5[com.keepassdroid.database.edit.Context,com.keepassdroid.Database,com.keepassdroid.database.PwEntry,com.keepassdroid.database.PwEntry,com.keepassdroid.database.edit.OnFinish]",backup,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,"UpdateEntry/5[com.keepassdroid.database.edit.Context,com.keepassdroid.Database,com.keepassdroid.database.PwEntry,com.keepassdroid.database.PwEntry,com.keepassdroid.database.edit.OnFinish]",ctx,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,"UpdateEntry/5[com.keepassdroid.database.edit.Context,com.keepassdroid.Database,com.keepassdroid.database.PwEntry,com.keepassdroid.database.PwEntry,com.keepassdroid.database.edit.OnFinish]",newE,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,"UpdateEntry/5[com.keepassdroid.database.edit.Context,com.keepassdroid.Database,com.keepassdroid.database.PwEntry,com.keepassdroid.database.PwEntry,com.keepassdroid.database.edit.OnFinish]",oldE,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,"UpdateEntry/5[com.keepassdroid.database.edit.Context,com.keepassdroid.Database,com.keepassdroid.database.PwEntry,com.keepassdroid.database.PwEntry,com.keepassdroid.database.edit.OnFinish]",finish,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/database/edit/UpdateEntry.java,com.keepassdroid.database.edit.UpdateEntry,"UpdateEntry/5[com.keepassdroid.database.edit.Context,com.keepassdroid.Database,com.keepassdroid.database.PwEntry,com.keepassdroid.database.PwEntry,com.keepassdroid.database.edit.OnFinish]",db,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/AboutDialog.java,com.keepassdroid.AboutDialog,onCreate/1[com.keepassdroid.Bundle],savedInstanceState,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/keepassdroid-2.5.9/app/src/main/java/com/keepassdroid/AboutDialog.java,com.keepassdroid.AboutDialog,onCreate/1[com.keepassdroid.Bundle],okButton,1
