file,class,method,variable,usage
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,onPrepareOptionsMenu/1[io.github.hidroh.materialistic.Menu],mSending,4
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,onPrepareOptionsMenu/1[io.github.hidroh.materialistic.Menu],mParentText,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,onBackPressed/0,mAlertDialogBuilder,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,onBackPressed/0,mSending,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,onBackPressed/0,mParentId,2
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,onBackPressed/0,mEditText,3
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,createQuote/0,FORMAT_QUOTE,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,createQuote/0,PARAGRAPH_BREAK_REGEX,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,createQuote/0,mParentText,1
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/materialistic-3.3/app/src/main/java/io/github/hidroh/materialistic/ComposeActivity.java,io.github.hidroh.materialistic.ComposeActivity,createQuote/0,PARAGRAPH_QUOTE,1
