index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
779,\src\com\eteks\sweethome3d\applet\AppletApplication.AppletBasicService.java,AppletBasicService,49,2,4,0,1,FALSE,FALSE,3,FALSE,FALSE,0,1,3,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,4,0,0,FALSE,Information Holder
780,\src\com\eteks\sweethome3d\applet\AppletApplication.AppletFurnitureTable.java,AppletFurnitureTable,71,1,1,0,1,FALSE,FALSE,3,FALSE,FALSE,2,2,12,5,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,0,FALSE,Service Provider
781,\src\com\eteks\sweethome3d\applet\AppletApplication.java,AppletApplication,730,31,24,0,13,FALSE,FALSE,2,FALSE,FALSE,45,27,58,90,TRUE,FALSE,FALSE,TRUE,FALSE,public,6,14,4,FALSE,Interfacer
782,\src\com\eteks\sweethome3d\applet\AppletApplication.StandaloneServiceManager.java,StandaloneServiceManager,46,1,2,0,1,FALSE,FALSE,3,TRUE,FALSE,1,1,5,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Service Provider
783,\src\com\eteks\sweethome3d\applet\AppletUserPreferences.java,AppletUserPreferences,567,30,15,1,2,FALSE,FALSE,3,FALSE,FALSE,18,10,36,84,TRUE,FALSE,FALSE,TRUE,FALSE,public,11,4,0,FALSE,Structurer
784,\src\com\eteks\sweethome3d\applet\HomeAppletController.java,HomeAppletController,353,11,11,0,2,FALSE,FALSE,3,TRUE,TRUE,16,4,23,42,TRUE,FALSE,FALSE,TRUE,FALSE,public,8,2,1,FALSE,Controller
785,\src\com\eteks\sweethome3d\applet\HomeAppletRecorder.java,HomeAppletRecorder,315,7,9,0,2,FALSE,FALSE,3,TRUE,FALSE,11,8,18,29,TRUE,FALSE,FALSE,TRUE,FALSE,public,7,2,0,FALSE,Service Provider
786,\src\com\eteks\sweethome3d\applet\HomeAppletRecorder.LengthOutputStream.java,LengthOutputStream,36,1,2,0,1,FALSE,FALSE,3,FALSE,FALSE,0,1,2,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,0,0,FALSE,Service Provider
787,\src\com\eteks\sweethome3d\applet\SweetHome3DApplet.java,SweetHome3DApplet,462,1,12,0,4,FALSE,FALSE,4,FALSE,FALSE,14,5,20,24,TRUE,FALSE,FALSE,TRUE,FALSE,public,3,7,2,FALSE,Interfacer
788,\src\com\eteks\sweethome3d\applet\SweetHome3DViewer.java,SweetHome3DViewer,222,1,6,0,1,FALSE,FALSE,4,TRUE,FALSE,8,2,11,11,TRUE,FALSE,FALSE,TRUE,FALSE,public,2,4,0,FALSE,Service Provider
