index,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0,freemind-src-1.0.0/freemind/common/BooleanProperty.java,BooleanProperty,96,7,6,2,3,FALSE,FALSE,2,FALSE,FALSE,1,4,5,7,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
1,freemind-src-1.0.0/freemind/common/ColorProperty.java,ColorProperty,153,7,9,3,4,FALSE,FALSE,2,FALSE,FALSE,4,6,12,10,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
2,freemind-src-1.0.0/freemind/common/ComboProperty.java,ComboProperty,152,4,9,2,3,FALSE,FALSE,2,FALSE,FALSE,3,8,10,9,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
3,freemind-src-1.0.0/freemind/common/DontShowNotificationProperty.java,DontShowNotificationProperty,33,0,0,0,0,FALSE,FALSE,4,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
4,freemind-src-1.0.0/freemind/common/FontProperty.java,FontProperty,107,6,6,2,3,FALSE,FALSE,2,FALSE,FALSE,2,4,8,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
5,freemind-src-1.0.0/freemind/common/FreeMindProgressMonitor.java,FreeMindProgressMonitor,168,5,6,1,1,FALSE,FALSE,4,TRUE,FALSE,2,10,15,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
6,freemind-src-1.0.0/freemind/common/FreeMindTask.java,FreeMindTask,197,10,8,3,2,FALSE,FALSE,3,FALSE,FALSE,7,3,9,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Information Holder
7,freemind-src-1.0.0/freemind/common/IconProperty.java,IconProperty,124,6,8,3,3,FALSE,FALSE,2,FALSE,FALSE,2,6,10,15,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
8,freemind-src-1.0.0/freemind/common/NamedObject.java,NamedObject,66,2,4,0,1,FALSE,FALSE,2,FALSE,FALSE,1,2,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
9,freemind-src-1.0.0/freemind/common/NextLineProperty.java,NextLineProperty,49,0,4,1,2,FALSE,FALSE,3,FALSE,FALSE,0,3,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
