index,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0,jEdit-v5.5.0/com/ultramixer/jarbundler/AppBundleProperties.java,AppBundleProperties,542,39,80,32,39,FALSE,FALSE,3,FALSE,FALSE,2,41,5,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
1,jEdit-v5.5.0/com/ultramixer/jarbundler/DocumentType.java,DocumentType,248,9,16,8,7,FALSE,FALSE,2,FALSE,FALSE,0,8,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
2,jEdit-v5.5.0/com/ultramixer/jarbundler/HelpBook.java,HelpBook,89,5,10,3,5,FALSE,FALSE,2,FALSE,FALSE,0,5,6,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
3,jEdit-v5.5.0/com/ultramixer/jarbundler/JarBundler.java,JarBundler,1566,35,84,47,0,FALSE,FALSE,2,TRUE,FALSE,64,69,25,133,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
4,jEdit-v5.5.0/com/ultramixer/jarbundler/JavaProperty.java,JavaProperty,81,2,4,2,2,FALSE,FALSE,2,FALSE,FALSE,2,2,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
5,jEdit-v5.5.0/com/ultramixer/jarbundler/LSEnvironment.java,LSEnvironment,92,2,4,2,2,FALSE,FALSE,3,FALSE,FALSE,2,2,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
6,jEdit-v5.5.0/com/ultramixer/jarbundler/PropertyListWriter.java,PropertyListWriter,681,3,16,0,0,FALSE,FALSE,3,TRUE,FALSE,45,30,33,121,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
7,jEdit-v5.5.0/com/ultramixer/jarbundler/Service.java,Service,222,9,16,8,8,FALSE,FALSE,1,FALSE,FALSE,0,8,3,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
8,jEdit-v5.5.0/de/masters_of_disaster/ant/tasks/ar/Ar.java,Ar,468,5,7,3,0,FALSE,FALSE,1,FALSE,FALSE,19,8,17,49,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
9,jEdit-v5.5.0/de/masters_of_disaster/ant/tasks/ar/ArConstants.java,ArConstants,62,11,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Information Holder
10,jEdit-v5.5.0/de/masters_of_disaster/ant/tasks/ar/ArEntry.java,ArEntry,355,10,20,8,7,FALSE,FALSE,2,FALSE,FALSE,3,13,2,11,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
11,jEdit-v5.5.0/de/masters_of_disaster/ant/tasks/ar/ArOutputStream.java,ArOutputStream,167,10,6,1,0,FALSE,FALSE,3,FALSE,FALSE,14,7,3,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
12,jEdit-v5.5.0/de/masters_of_disaster/ant/tasks/ar/ArUtils.java,ArUtils,155,0,6,0,4,FALSE,FALSE,2,FALSE,FALSE,2,22,0,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
