index,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0,pgptool-v0.5.9.2/src/main/java/org/jdesktop/swingx/imported/AbstractBean.java,AbstractBean,505,2,20,0,4,FALSE,FALSE,2,FALSE,FALSE,5,28,6,8,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Service Provider
1,pgptool-v0.5.9.2/src/main/java/org/jdesktop/swingx/imported/AbstractPainter.java,AbstractPainter,480,8,18,6,2,FALSE,FALSE,2,TRUE,FALSE,16,12,7,8,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Service Provider
2,pgptool-v0.5.9.2/src/main/java/org/jdesktop/swingx/imported/CompoundPainter.java,CompoundPainter,350,5,15,4,2,FALSE,FALSE,2,TRUE,FALSE,11,10,2,12,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
3,pgptool-v0.5.9.2/src/main/java/org/jdesktop/swingx/imported/GraphicsUtilities.java,GraphicsUtilities,793,0,18,1,2,FALSE,FALSE,2,FALSE,FALSE,30,37,17,47,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
4,pgptool-v0.5.9.2/src/main/java/org/jdesktop/swingx/imported/JXLabel.java,JXLabel,1388,19,33,7,11,FALSE,FALSE,3,FALSE,FALSE,74,26,42,76,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
5,pgptool-v0.5.9.2/src/main/java/org/jdesktop/swingx/imported/Painter.java,Painter,134,0,0,0,0,FALSE,FALSE,1,TRUE,FALSE,0,0,1,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
6,pgptool-v0.5.9.2/src/main/java/org/pgptool/gui/app/EntryPoint.java,EntryPoint,248,9,13,1,2,FALSE,FALSE,2,FALSE,FALSE,8,13,34,20,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
7,pgptool-v0.5.9.2/src/main/java/org/pgptool/gui/app/GenericException.java,GenericException,51,2,2,0,2,FALSE,FALSE,2,FALSE,FALSE,0,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
8,pgptool-v0.5.9.2/src/main/java/org/pgptool/gui/app/Message.java,Message,46,2,2,0,2,FALSE,FALSE,1,FALSE,FALSE,0,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
9,pgptool-v0.5.9.2/src/main/java/org/pgptool/gui/app/MessageSeverity.java,MessageSeverity,22,3,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
