index,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/app/GnuCashApplication.java,GnuCashApplication,371,15,23,2,14,TRUE,FALSE,3,FALSE,FALSE,5,4,41,28,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/BookDbHelper.java,BookDbHelper,186,3,5,0,1,TRUE,FALSE,3,TRUE,FALSE,2,8,18,25,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
2,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/DatabaseCursorLoader.java,DatabaseCursorLoader,148,3,7,0,0,FALSE,FALSE,3,TRUE,FALSE,8,4,5,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Service Provider
3,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/DatabaseHelper.java,DatabaseHelper,362,10,5,0,0,TRUE,FALSE,2,TRUE,FALSE,1,7,21,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
4,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/DatabaseSchema.java,DatabaseSchema,277,4,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
5,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/MigrationHelper.java,MigrationHelper,1678,2,23,0,2,TRUE,FALSE,2,TRUE,FALSE,24,27,62,159,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
6,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/AccountsDbAdapter.java,AccountsDbAdapter,1317,4,57,1,30,TRUE,FALSE,3,TRUE,FALSE,38,70,30,122,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
7,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/BooksDbAdapter.java,BooksDbAdapter,322,0,17,3,7,TRUE,FALSE,3,TRUE,FALSE,8,8,17,34,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
8,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/BudgetAmountsDbAdapter.java,BudgetAmountsDbAdapter,141,0,7,1,4,TRUE,FALSE,4,TRUE,FALSE,0,7,10,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
9,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/BudgetsDbAdapter.java,BudgetsDbAdapter,191,2,8,1,3,TRUE,FALSE,3,TRUE,FALSE,3,12,14,21,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
10,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/CommoditiesDbAdapter.java,CommoditiesDbAdapter,139,0,7,1,3,TRUE,FALSE,3,TRUE,FALSE,2,6,10,15,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
11,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/DatabaseAdapter.java,DatabaseAdapter,803,7,38,1,14,TRUE,FALSE,2,TRUE,FALSE,21,45,17,42,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Service Provider
12,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/PricesDbAdapter.java,PricesDbAdapter,127,0,4,1,2,TRUE,FALSE,3,TRUE,FALSE,6,5,9,14,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
13,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/RecurrenceDbAdapter.java,RecurrenceDbAdapter,181,0,5,1,1,TRUE,FALSE,3,TRUE,FALSE,6,5,14,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
14,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/ScheduledActionDbAdapter.java,ScheduledActionDbAdapter,246,1,9,1,4,TRUE,FALSE,4,TRUE,FALSE,1,10,13,34,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
15,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/SplitsDbAdapter.java,SplitsDbAdapter,445,0,17,1,6,TRUE,FALSE,3,TRUE,FALSE,15,32,20,36,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
16,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/db/adapter/TransactionsDbAdapter.java,TransactionsDbAdapter,668,2,32,1,16,TRUE,FALSE,3,TRUE,FALSE,11,43,24,57,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
17,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/DropboxHelper.java,DropboxHelper,93,1,3,0,1,FALSE,FALSE,2,TRUE,FALSE,3,0,10,7,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
18,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/ExportAsyncTask.java,ExportAsyncTask,577,7,18,0,2,TRUE,FALSE,3,FALSE,FALSE,29,6,58,76,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
19,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/ExportFormat.java,ExportFormat,62,6,2,0,1,FALSE,FALSE,2,FALSE,FALSE,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
20,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/ExportParams.java,ExportParams,230,6,15,6,5,TRUE,FALSE,2,FALSE,FALSE,1,7,4,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
21,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/Exporter.java,Exporter,267,17,7,0,4,TRUE,FALSE,1,TRUE,FALSE,6,6,25,29,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Service Provider
22,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/csv/CsvAccountExporter.java,CsvAccountExporter,114,1,2,0,0,TRUE,FALSE,3,TRUE,FALSE,0,1,10,14,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
23,gnucash-android-v2.4.1/app/src/main/java/org/gnucash/android/export/csv/CsvTransactionsExporter.java,CsvTransactionsExporter,176,2,3,0,0,TRUE,FALSE,3,TRUE,FALSE,3,5,24,24,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
