index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0,k9mail-library/src/main/java/com/fsck/k9/mail/AuthType.java,AuthType,33,6,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
1,k9mail-library/src/main/java/com/fsck/k9/mailstore/BinaryMemoryBody.java,BinaryMemoryBody,46,2,5,1,3,FALSE,FALSE,3,FALSE,FALSE,0,2,8,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,5,0,0,FALSE,Information Holder
2,k9mail-library/src/main/java/com/fsck/k9/mail/Address.java,Address,331,4,17,2,3,FALSE,FALSE,1,FALSE,FALSE,29,11,15,22,FALSE,FALSE,FALSE,TRUE,FALSE,public,16,0,0,FALSE,Service Provider
3,k9mail-library/src/main/java/com/fsck/k9/mail/Authentication.java,Authentication,94,2,3,0,0,FALSE,FALSE,1,FALSE,FALSE,1,8,4,3,FALSE,FALSE,FALSE,TRUE,FALSE,public,3,0,0,FALSE,Service Provider
4,k9mail-library/src/main/java/com/fsck/k9/mail/AuthenticationFailedException.java,AuthenticationFailedException,12,1,0,0,0,FALSE,FALSE,3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
5,k9mail-library/src/main/java/com/fsck/k9/mail/Body.java,Body,24,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
6,k9mail-library/src/main/java/com/fsck/k9/mail/BodyFactory.java,BodyFactory,8,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
7,k9mail-library/src/main/java/com/fsck/k9/mail/BodyPart.java,BodyPart,25,2,4,2,2,FALSE,FALSE,2,FALSE,FALSE,0,2,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,4,0,0,TRUE,Information Holder
8,k9mail-library/src/main/java/com/fsck/k9/mail/BoundaryGenerator.java,BoundaryGenerator,41,4,2,0,1,FALSE,FALSE,2,TRUE,FALSE,0,0,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,0,0,FALSE,Service Provider
9,k9mail-library/src/main/java/com/fsck/k9/mail/CertificateChainException.java,CertificateChainException,27,2,2,1,1,FALSE,FALSE,3,FALSE,FALSE,0,1,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,0,0,FALSE,Information Holder
