FullClassPath,AntiPattern
org.json.JSONArray,ComplexClass
ca.mcgill.cs.jetuml.gui.EditorFrame,ComplexClass
ca.mcgill.cs.jetuml.diagram.Diagram,ComplexClass
ca.mcgill.cs.jetuml.diagram.builder.DiagramBuilder,ComplexClass
org.json.JSONObject,ComplexClass
ca.mcgill.cs.jetuml.gui.DiagramCanvasController,ComplexClass
ca.mcgill.cs.jetuml.gui.DiagramCanvasController,ComplexClass
ca.mcgill.cs.jetuml.application.Clipboard,ComplexClass
ca.mcgill.cs.jetuml.persistence.VersionMigrator,ComplexClass
ca.mcgill.cs.jetuml.gui.tips.TipDialog,ComplexClass
ca.mcgill.cs.jetuml.diagram.ControlFlow,ComplexClass
ca.mcgill.cs.jetuml.diagram.builder.SequenceDiagramBuilder,ComplexClass
ca.mcgill.cs.jetuml.gui.SelectionModel,ComplexClass
ca.mcgill.cs.jetuml.diagram.Prototypes,ComplexClass
ca.mcgill.cs.jetuml.gui.SelectionModel,ComplexClass
org.json.JSONWriter,ComplexClass
ca.mcgill.cs.jetuml.viewers.edges.SegmentedEdgeViewer,ComplexClass
ca.mcgill.cs.jetuml.gui.DiagramTab,ComplexClass
ca.mcgill.cs.jetuml.viewers.nodes.CallNodeViewer,ComplexClass
ca.mcgill.cs.jetuml.diagram.builder.ClassDiagramBuilder,ComplexClass
ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyleFactory,ComplexClass
ca.mcgill.cs.jetuml.diagram.builder.ObjectDiagramBuilder,ComplexClass
ca.mcgill.cs.jetuml.viewers.edges.StateTransitionEdgeViewer,ComplexClass
org.json.JSONObject,ComplexClass
ca.mcgill.cs.jetuml.views.StringViewer,ComplexClass
org.json.JSONTokener,ComplexClass
ca.mcgill.cs.jetuml.gui.EditorFrame,ComplexClass
ca.mcgill.cs.jetuml.viewers.edges.StateTransitionEdgeViewer,ComplexClass
