FullClassPath,AntiPattern
ca.mcgill.cs.jetuml.gui.DiagramSizeDialog,LongMethod
ca.mcgill.cs.jetuml.diagram.builder.ClassDiagramBuilder,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.AbstractPackageNodeViewer,LongMethod
ca.mcgill.cs.jetuml.application.RecentFilesQueue,LongMethod
ca.mcgill.cs.jetuml.diagram.builder.ObjectDiagramBuilder,LongMethod
ca.mcgill.cs.jetuml.gui.DiagramCanvas,LongMethod
ca.mcgill.cs.jetuml.diagram.builder.SequenceDiagramBuilder,LongMethod
org.json.JSONArray,LongMethod
ca.mcgill.cs.jetuml.gui.TipDialog,LongMethod
ca.mcgill.cs.jetuml.views.SequenceDiagramViewer,LongMethod
ca.mcgill.cs.jetuml.persistence.JsonEncoder,LongMethod
ca.mcgill.cs.jetuml.diagram.Diagram,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.CircularStateNodeViewer,LongMethod
ca.mcgill.cs.jetuml.views.ImageCreator,LongMethod
ca.mcgill.cs.jetuml.application.MoveTracker,LongMethod
ca.mcgill.cs.jetuml.gui.AboutDialog,LongMethod
org.json.JSONWriter,LongMethod
ca.mcgill.cs.jetuml.viewers.edges.SegmentedEdgeViewer,LongMethod
ca.mcgill.cs.jetuml.gui.MenuFactory,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.TypeNodeViewer,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.CallNodeViewer,LongMethod
ca.mcgill.cs.jetuml.persistence.JsonDecoder,LongMethod
ca.mcgill.cs.jetuml.gui.DiagramTabToolBar,LongMethod
ca.mcgill.cs.jetuml.gui.tips.TipDialog,LongMethod
ca.mcgill.cs.jetuml.views.ToolGraphics,LongMethod
ca.mcgill.cs.jetuml.gui.DiagramCanvasController,LongMethod
ca.mcgill.cs.jetuml.gui.WelcomeTab,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.AbstractNodeViewer,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.PackageNodeViewer,LongMethod
ca.mcgill.cs.jetuml.gui.DiagramTab,LongMethod
ca.mcgill.cs.jetuml.diagram.ControlFlow,LongMethod
ca.mcgill.cs.jetuml.views.StringViewer,LongMethod
ca.mcgill.cs.jetuml.geom.Rectangle,LongMethod
ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyleFactory,LongMethod
ca.mcgill.cs.jetuml.viewers.edges.CallEdgeViewer,LongMethod
ca.mcgill.cs.jetuml.views.Grid,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.ActorNodeViewer,LongMethod
ca.mcgill.cs.jetuml.persistence.VersionMigrator,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.ImplicitParameterNodeViewer,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.FieldNodeViewer,LongMethod
ca.mcgill.cs.jetuml.viewers.edges.ObjectReferenceEdgeViewer,LongMethod
ca.mcgill.cs.jetuml.viewers.edges.StateTransitionEdgeViewer,LongMethod
ca.mcgill.cs.jetuml.JetUML,LongMethod
ca.mcgill.cs.jetuml.application.Version,LongMethod
ca.mcgill.cs.jetuml.views.DiagramViewer,LongMethod
ca.mcgill.cs.jetuml.gui.PropertyEditorDialog,LongMethod
ca.mcgill.cs.jetuml.viewers.edges.ReturnEdgeViewer,LongMethod
ca.mcgill.cs.jetuml.viewers.nodes.ObjectNodeViewer,LongMethod
