FullClassPath,AntiPattern
ca.mcgill.cs.jetuml.gui.DiagramCanvasController,LongParameterList
ca.mcgill.cs.jetuml.diagram.Property,LongParameterList
ca.mcgill.cs.jetuml.gui.PropertyEditorDialog,LongParameterList
ca.mcgill.cs.jetuml.application.Clipboard,LongParameterList
ca.mcgill.cs.jetuml.persistence.VersionedDiagram,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.constraints.EdgeConstraints,LongParameterList
ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.constraints.SequenceDiagramEdgeConstraints,LongParameterList
ca.mcgill.cs.jetuml.gui.SelectableToolButton,LongParameterList
ca.mcgill.cs.jetuml.views.DiagramViewer,LongParameterList
ca.mcgill.cs.jetuml.gui.MenuFactory,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.ObjectDiagramBuilder,LongParameterList
ca.mcgill.cs.jetuml.diagram.Properties,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.DiagramBuilder,LongParameterList
org.json.JSONObject,LongParameterList
ca.mcgill.cs.jetuml.geom.Rectangle,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.ClassDiagramBuilder,LongParameterList
ca.mcgill.cs.jetuml.gui.DiagramTabToolBar,LongParameterList
ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyleFactory,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.SequenceDiagramBuilder,LongParameterList
ca.mcgill.cs.jetuml.views.ArrowHeadView,LongParameterList
ca.mcgill.cs.jetuml.viewers.edges.SegmentedEdgeViewer,LongParameterList
ca.mcgill.cs.jetuml.viewers.edges.CallEdgeViewer,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.constraints.ObjectDiagramEdgeConstraints,LongParameterList
ca.mcgill.cs.jetuml.gui.ViewportProjection,LongParameterList
ca.mcgill.cs.jetuml.viewers.edges.LabeledStraightEdgeViewer,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.UseCaseDiagramBuilder,LongParameterList
ca.mcgill.cs.jetuml.application.Version,LongParameterList
ca.mcgill.cs.jetuml.views.ViewUtils,LongParameterList
ca.mcgill.cs.jetuml.views.StringViewer,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.StateDiagramBuilder,LongParameterList
ca.mcgill.cs.jetuml.diagram.builder.constraints.ClassDiagramEdgeConstraints,LongParameterList
ca.mcgill.cs.jetuml.views.SequenceDiagramViewer,LongParameterList
ca.mcgill.cs.jetuml.viewers.nodes.TypeNodeViewer,LongParameterList
ca.mcgill.cs.jetuml.views.ToolGraphics,LongParameterList
org.json.JSONArray,LongParameterList
ca.mcgill.cs.jetuml.diagram.Diagram,LongParameterList
