FullClassPath,AntiPattern
org.argouml.activity2.ActivityDiagramModule,ComplexClass
org.argouml.application.api.Argo,ComplexClass
org.argouml.uml.diagram.state.ui.FigSubmachineState,ComplexClass
org.argouml.sequence2.diagram.SelectionClassifierRole,ComplexClass
org.argouml.uml.diagram.DiagramSettings,ComplexClass
org.argouml.profile.internal.ProfileManagerImpl,ComplexClass
org.argouml.ui.SettingsTabProfile,ComplexClass
org.argouml.model.euml.EUMLModelImplementation,ComplexClass
org.argouml.ui.FindDialog,ComplexClass
org.argouml.core.propertypanels.ui.ExpressionModel,ComplexClass
org.argouml.uml.diagram.state.StateDiagramGraphModel,ComplexClass
org.argouml.uml.diagram.activity.ui.FigPartition,ComplexClass
org.argouml.model.euml.UmlFactoryEUMLImpl,ComplexClass
org.argouml.cognitive.critics.ui.CriticBrowserDialog,ComplexClass
org.argouml.model.mdr.CoreFactoryMDRImpl,ComplexClass
org.argouml.uml.diagram.ui.TabDiagram,ComplexClass
org.argouml.model.mdr.CollaborationsHelperMDRImpl,ComplexClass
org.argouml.uml.diagram.ui.FigCompartment,ComplexClass
org.argouml.uml.diagram.ui.FigCompartmentBox,ComplexClass
org.argouml.uml.diagram.state.ui.FigCompositeState,ComplexClass
org.argouml.persistence.ArgoParser,ComplexClass
org.argouml.model.mdr.DataTypesFactoryMDRImpl,ComplexClass
org.argouml.uml.diagram.DiagramSettings,ComplexClass
org.argouml.core.propertypanels.ui.UMLModelElementListModel,ComplexClass
org.argouml.uml.diagram.ui.FigAssociation,ComplexClass
org.argouml.uml.diagram.static,ComplexClass
org.argouml.ui.StylePanelFigText,ComplexClass
org.argouml.model.mdr.MDRModelImplementation,ComplexClass
org.argouml.model.mdr.XmiReferenceResolverImpl,ComplexClass
org.argouml.core.propertypanels.ui.UMLExpressionModel,ComplexClass
org.argouml.uml.TMResults,ComplexClass
org.argouml.notation.providers.uml.AbstractMessageNotationUml,ComplexClass
org.argouml.model.AbstractCollaborationsHelperDecorator,ComplexClass
org.argouml.uml.diagram.DiagramFactory,ComplexClass
org.argouml.ui.DisplayTextTree,ComplexClass
org.argouml.uml.cognitive.critics.WizAddOperation,ComplexClass
org.argouml.cognitive.ListSet,ComplexClass
org.argouml.uml.diagram.use,ComplexClass
org.argouml.persistence.AbstractFilePersister,ComplexClass
org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram,ComplexClass
org.argouml.uml.diagram.static,ComplexClass
org.argouml.uml.diagram.ArgoDiagramImpl,ComplexClass
org.argouml.model.euml.CollaborationsFactoryEUMLImpl,ComplexClass
org.argouml.uml.ui.UMLAddDialog,ComplexClass
org.argouml.application.Main,ComplexClass
org.argouml.uml.diagram.ui.SelectionNodeClarifiers2,ComplexClass
org.argouml.ui.cmd.SettingsTabShortcuts,ComplexClass
org.argouml.uml.ui.LabelledLayout,ComplexClass
org.argouml.uml.ui.ActionSaveAllGraphics,ComplexClass
org.argouml.model.euml.FacadeEUMLImpl,ComplexClass
org.argouml.ui.explorer.ExplorerPopup,ComplexClass
org.argouml.uml.diagram.ArgoDiagramImpl,ComplexClass
org.argouml.sequence2.SequenceDiagramModule,ComplexClass
org.argouml.uml.diagram.state.ui.FigConcurrentRegion,ComplexClass
org.argouml.cognitive.checklist.TestChecklistStatus,ComplexClass
org.argouml.uml.DocumentationManager,ComplexClass
org.argouml.ui.JasonsHugeTheme,ComplexClass
org.argouml.ui.ProjectActions,ComplexClass
org.argouml.model.mdr.MetaTypesMDRImpl,ComplexClass
org.argouml.ui.StylePanelFig,ComplexClass
org.argouml.uml.cognitive.critics.WizNavigable,ComplexClass
org.argouml.uml.diagram.activity.ui.UMLActivityDiagram,ComplexClass
org.argouml.notation2.NotationModule,ComplexClass
org.argouml.uml.diagram.static,ComplexClass
org.argouml.cognitive.ToDoItem,ComplexClass
org.argouml.ui.cmd.SettingsTabShortcuts,ComplexClass
org.argouml.profile.UserDefinedProfile,ComplexClass
org.argouml.uml.ui.UMLStereotypeListModel,ComplexClass
org.argouml.cognitive.ui.WizStep,ComplexClass
org.argouml.notation.providers.uml.NotationUtilityUml,ComplexClass
org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel,ComplexClass
org.argouml.uml.diagram.static,ComplexClass
org.argouml.model.mdr.CommonBehaviorFactoryMDRImpl,ComplexClass
org.argouml.uml.ui.TabSrc,ComplexClass
org.argouml.sequence2.diagram.ModeBroomMessages,ComplexClass
org.argouml.model.mdr.CoreHelperMDRImpl,ComplexClass
org.argouml.model.euml.EUMLModelImplementation,ComplexClass
org.argouml.model.AbstractCoreHelperDecorator,ComplexClass
