FullClassPath,AntiPattern
org.argouml.uml.diagram.collaboration.ui.PropPanelUMLCollaborationDiagram,LazyClass
org.argouml.uml.diagram.collaboration.ui.PropPanelUMLCollaborationDiagram,LazyClass
org.argouml.notation.providers.ComponentInstanceNotation,LazyClass
org.argouml.notation.providers.ComponentInstanceNotation,LazyClass
org.argouml.model.mdr.UndoStateMachinesHelperDecorator,LazyClass
org.argouml.model.mdr.UndoStateMachinesHelperDecorator,LazyClass
org.argouml.profile.internal.ocl.InvalidOclException,LazyClass
org.argouml.profile.internal.ocl.InvalidOclException,LazyClass
org.argouml.uml.diagram.ui.FigUsage,LazyClass
org.argouml.uml.diagram.ui.FigUsage,LazyClass
org.argouml.persistence.OldModelMemberFilePersister,LazyClass
org.argouml.persistence.OldModelMemberFilePersister,LazyClass
org.argouml.uml.diagram.ui.ActionStereotypeViewBigIcon,LazyClass
org.argouml.uml.diagram.ui.ActionStereotypeViewBigIcon,LazyClass
org.argouml.model.mdr.UndoCollaborationsHelperDecorator,LazyClass
org.argouml.model.mdr.UndoCollaborationsHelperDecorator,LazyClass
org.argouml.model.mdr.UndoDataTypesHelperDecorator,LazyClass
org.argouml.model.mdr.UndoDataTypesHelperDecorator,LazyClass
org.argouml.uml.diagram.static,LazyClass
org.argouml.uml.diagram.static,LazyClass
org.argouml.persistence.UmlVersionException,LazyClass
org.argouml.persistence.UmlVersionException,LazyClass
org.argouml.notation.providers.MultiplicityNotation,LazyClass
org.argouml.notation.providers.MultiplicityNotation,LazyClass
org.argouml.model.mdr.UndoUseCasesHelperDecorator,LazyClass
org.argouml.model.mdr.UndoUseCasesHelperDecorator,LazyClass
org.argouml.model.InstanceChangeEvent,LazyClass
org.argouml.model.InstanceChangeEvent,LazyClass
org.argouml.uml.diagram.static,LazyClass
org.argouml.uml.diagram.static,LazyClass
org.argouml.notation.providers.ExtensionPointNotation,LazyClass
org.argouml.notation.providers.ExtensionPointNotation,LazyClass
org.argouml.uml.diagram.ui.ActionStereotypeViewTextual,LazyClass
org.argouml.uml.diagram.ui.ActionStereotypeViewTextual,LazyClass
org.argouml.cognitive.StandardCM,LazyClass
org.argouml.cognitive.StandardCM,LazyClass
org.argouml.model.mdr.UndoExtensionMechanismsHelperDecorator,LazyClass
org.argouml.model.mdr.UndoExtensionMechanismsHelperDecorator,LazyClass
org.argouml.cognitive.UnresolvableException,LazyClass
org.argouml.cognitive.UnresolvableException,LazyClass
org.argouml.model.mdr.UndoActivityGraphsHelperDecorator,LazyClass
org.argouml.model.mdr.UndoActivityGraphsHelperDecorator,LazyClass
org.argouml.uml.diagram.use,LazyClass
org.argouml.uml.diagram.use,LazyClass
org.argouml.uml.diagram.ui.SPFigEdgeModelElement,LazyClass
org.argouml.uml.diagram.ui.SPFigEdgeModelElement,LazyClass
org.argouml.uml.diagram.ui.ActionStereotypeViewSmallIcon,LazyClass
org.argouml.uml.diagram.ui.ActionStereotypeViewSmallIcon,LazyClass
org.argouml.uml.diagram.static,LazyClass
org.argouml.uml.diagram.static,LazyClass
org.argouml.uml.ui.UMLDerivedCheckBox,LazyClass
org.argouml.uml.ui.UMLDerivedCheckBox,LazyClass
org.argouml.model.mdr.UndoCommonBehaviorHelperDecorator,LazyClass
org.argouml.model.mdr.UndoCommonBehaviorHelperDecorator,LazyClass
org.argouml.uml.diagram.ui.FigPermission,LazyClass
org.argouml.uml.diagram.ui.FigPermission,LazyClass
org.argouml.kernel.ProjectEvent,LazyClass
org.argouml.kernel.ProjectEvent,LazyClass
org.argouml.uml.diagram.activity.ui.PropPanelUMLActivityDiagram,LazyClass
org.argouml.uml.diagram.activity.ui.PropPanelUMLActivityDiagram,LazyClass
org.argouml.uml.diagram.state.ui.PropPanelUMLStateDiagram,LazyClass
org.argouml.uml.diagram.state.ui.PropPanelUMLStateDiagram,LazyClass
org.argouml.persistence.VersionException,LazyClass
org.argouml.persistence.VersionException,LazyClass
org.argouml.uml.ui.UMLDeprecatedCheckBox,LazyClass
org.argouml.uml.ui.UMLDeprecatedCheckBox,LazyClass
org.argouml.uml.diagram.ui.ActionSetAddCommentLinkMode,LazyClass
org.argouml.uml.diagram.ui.ActionSetAddCommentLinkMode,LazyClass
org.argouml.uml.diagram.deployment.ui.PropPanelUMLDeploymentDiagram,LazyClass
org.argouml.uml.diagram.deployment.ui.PropPanelUMLDeploymentDiagram,LazyClass
org.argouml.activity2.diagram.FigNameCompartment,LazyClass
org.argouml.activity2.diagram.FigNameCompartment,LazyClass
org.argouml.model.mdr.UndoUmlHelperDecorator,LazyClass
org.argouml.model.mdr.UndoUmlHelperDecorator,LazyClass
org.argouml.sequence2.diagram.ActionSetAddMessageMode,LazyClass
org.argouml.sequence2.diagram.ActionSetAddMessageMode,LazyClass
