FullClassPath,AntiPattern
com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength,ClassDataShouldBePrivate
org.checkstyle.suppressionxpathfilter.AbstractXpathTestSupport,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter2filebasic.rule231filetab.InputFileTabCharacter,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter4formatting.rule485annotations.InputAnnotationLocationVariables,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter4formatting.rule487modifiers.InputModifierOrder,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter5naming.rule525nonconstantfieldnames.InputMemberNameSimple,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter4formatting.rule485annotations.InputAnnotationLocation,ClassDataShouldBePrivate
org.checkstyle.suppressionxpathfilter.declarationorder.SuppressionXpathRegressionDeclarationOrderOne,ClassDataShouldBePrivate
org.checkstyle.suppressionxpathfilter.annotationlocation.SuppressionXpathRegressionAnnotationLocationVariable,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter7javadoc.rule734nonrequiredjavadoc.InputInvalidJavadocPosition2,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter7javadoc.rule711generalform.InputInvalidJavadocPosition2,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter5naming.rule525nonconstantfieldnames.InputMemberNameBasic,ClassDataShouldBePrivate
com.google.checkstyle.test.chapter4formatting.rule44columnlimit.InputLineLength,ClassDataShouldBePrivate
