FullClassPath,AntiPattern
org.checkstyle.suppressionxpathfilter.abstractclassname.SuppressionXpathRegressionAbstractClassNameNoModifier,LazyClass
org.checkstyle.suppressionxpathfilter.abstractclassname.SuppressionXpathRegressionAbstractClassNameNoModifier,LazyClass
com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooForClass,LazyClass
com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooForClass,LazyClass
org.checkstyle.suppressionxpathfilter.nolinewrap.SuppressionXpathRegressionNoLineWrap1,LazyClass
org.checkstyle.suppressionxpathfilter.nolinewrap.SuppressionXpathRegressionNoLineWrap1,LazyClass
org.checkstyle.suppressionxpathfilter.unnecessarysemicolonafteroutertypedeclaration.SuppressionXpathRegressionUnnecessarySemicolonAfterOuterTypeDeclaration,LazyClass
org.checkstyle.suppressionxpathfilter.unnecessarysemicolonafteroutertypedeclaration.SuppressionXpathRegressionUnnecessarySemicolonAfterOuterTypeDeclaration,LazyClass
com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooFieldClass,LazyClass
com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooFieldClass,LazyClass
org.checkstyle.suppressionxpathfilter.avoidstarimport.SuppressionXpathRegressionAvoidStarImport2,LazyClass
org.checkstyle.suppressionxpathfilter.avoidstarimport.SuppressionXpathRegressionAvoidStarImport2,LazyClass
org.checkstyle.suppressionxpathfilter.importorder.SuppressionXpathRegressionImportOrderTwo,LazyClass
org.checkstyle.suppressionxpathfilter.importorder.SuppressionXpathRegressionImportOrderTwo,LazyClass
com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.InputCustomImportOrderValid,LazyClass
com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.InputCustomImportOrderValid,LazyClass
com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooReturnClass,LazyClass
com.google.checkstyle.test.chapter4formatting.rule4841indentation.FooReturnClass,LazyClass
com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.InputCustomImportOrder1,LazyClass
com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.InputCustomImportOrder1,LazyClass
com.google.checkstyle.test.chapter7javadoc.rule711generalform.InputInvalidJavadocPosition5,LazyClass
com.google.checkstyle.test.chapter7javadoc.rule711generalform.InputInvalidJavadocPosition5,LazyClass
org.checkstyle.suppressionxpathfilter.classmemberimpliedmodifier.SuppressionXpathRegressionClassMemberImpliedModifierTwo,LazyClass
org.checkstyle.suppressionxpathfilter.classmemberimpliedmodifier.SuppressionXpathRegressionClassMemberImpliedModifierTwo,LazyClass
com.google.checkstyle.test.chapter7javadoc.rule711generalform.InputInvalidJavadocPosition,LazyClass
com.google.checkstyle.test.chapter7javadoc.rule711generalform.InputInvalidJavadocPosition,LazyClass
com.google.checkstyle.test.chapter5naming.rule522typenames.inputHeaderClass,LazyClass
com.google.checkstyle.test.chapter5naming.rule522typenames.inputHeaderClass,LazyClass
org.checkstyle.suppressionxpathfilter.customimportorder.SuppressionXpathRegressionCustomImportOrderSix,LazyClass
org.checkstyle.suppressionxpathfilter.customimportorder.SuppressionXpathRegressionCustomImportOrderSix,LazyClass
com.google.checkstyle.test.chapter5naming.rule522typenames.ValidName,LazyClass
com.google.checkstyle.test.chapter5naming.rule522typenames.ValidName,LazyClass
org.checkstyle.suppressionxpathfilter.missingjavadocmethod.SuppressionXpathRegressionMissingJavadocMethod1,LazyClass
org.checkstyle.suppressionxpathfilter.missingjavadocmethod.SuppressionXpathRegressionMissingJavadocMethod1,LazyClass
com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooForClass,LazyClass
com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.FooForClass,LazyClass
org.checkstyle.checks.importorder.InputFromAndroid,LazyClass
org.checkstyle.checks.importorder.InputFromAndroid,LazyClass
com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.InputCustomImportOrder2,LazyClass
com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.InputCustomImportOrder2,LazyClass
org.checkstyle.suppressionxpathfilter.importorder.SuppressionXpathRegressionImportOrderFour,LazyClass
