FullClassPath,AntiPattern
freemind.preferences.layout.OptionPanel,ClassDataShouldBePrivate
freemind.modes.common.plugins.MapNodePositionHolderBase,ClassDataShouldBePrivate
freemind.view.mindmapview.MapView,ClassDataShouldBePrivate
freemind.extensions.ImportWizard,ClassDataShouldBePrivate
freemind.modes.viewmodes.ViewControllerAdapter,ClassDataShouldBePrivate
freemind.main.FreeMind,ClassDataShouldBePrivate
freemind.controller.MindMapNodesSelection,ClassDataShouldBePrivate
freemind.modes.browsemode.BrowseController,ClassDataShouldBePrivate
freemind.modes.mindmapmode.actions.IconAction,ClassDataShouldBePrivate
freemind.main.FreeMindApplet,ClassDataShouldBePrivate
freemind.extensions.HookDescriptorPluginAction,ClassDataShouldBePrivate
freemind.controller.Controller,ClassDataShouldBePrivate
freemindUrl,ClassDataShouldBePrivate
freemind.modes.mindmapmode.MindMapController,ClassDataShouldBePrivate
freemind.main.Tools,ClassDataShouldBePrivate
