FullClassPath,AntiPattern
freemind.modes.schememode.SchemeEdgeModel,LazyClass
freemind.modes.schememode.SchemeEdgeModel,LazyClass
freemind.modes.filemode.FileEdgeModel,LazyClass
freemind.modes.filemode.FileEdgeModel,LazyClass
freemind.modes.mindmapmode.actions.NodeColorBlendAction,LazyClass
freemind.modes.mindmapmode.actions.NodeColorBlendAction,LazyClass
freemind.modes.mindmapmode.actions.SelectAllAction,LazyClass
freemind.modes.mindmapmode.actions.SelectAllAction,LazyClass
freemind.modes.mindmapmode.MindMapCloudModel,LazyClass
freemind.modes.mindmapmode.MindMapCloudModel,LazyClass
freemind.extensions.ModeControllerHookAdapter,LazyClass
freemind.extensions.ModeControllerHookAdapter,LazyClass
freemind.modes.mindmapmode.actions.UseRichFormattingAction,LazyClass
freemind.modes.mindmapmode.actions.UseRichFormattingAction,LazyClass
freemind.modes.mindmapmode.actions.UsePlainTextAction,LazyClass
freemind.modes.mindmapmode.actions.UsePlainTextAction,LazyClass
freemind.modes.mindmapmode.MindMapEdgeModel,LazyClass
freemind.modes.mindmapmode.MindMapEdgeModel,LazyClass
freemind.common.DontShowNotificationProperty,LazyClass
freemind.common.DontShowNotificationProperty,LazyClass
freemind.controller.filter.condition.JCondition,LazyClass
freemind.controller.filter.condition.JCondition,LazyClass
