FullClassPath,AntiPattern
net.sourceforge.ganttproject.chart.ResourceLoadRenderer,ComplexClass
net.sourceforge.ganttproject.document.webdav.GanttURLChooser,ComplexClass
net.sourceforge.ganttproject.client.RssParser,ComplexClass
com.googlecode.ant_deb_task.GZipOutputStream,ComplexClass
org.ganttproject.impex.htmlpdf.itext.ThemeImpl,ComplexClass
org.w3c.util.DateParser,ComplexClass
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,ComplexClass
net.sourceforge.ganttproject.GPTreeTableBase,ComplexClass
net.sourceforge.ganttproject.task.TaskImpl,ComplexClass
net.sourceforge.ganttproject.PluginPreferencesImpl,ComplexClass
net.sourceforge.ganttproject.task.TaskImpl,ComplexClass
net.sourceforge.ganttproject.GanttProject,ComplexClass
net.sourceforge.ganttproject.parser.TaskTagHandler,ComplexClass
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean,ComplexClass
biz.ganttproject.core.chart.render.TextPainter,ComplexClass
net.sourceforge.ganttproject.ResourceTreeTable,ComplexClass
net.sourceforge.ganttproject.gui.GanttDialogInfo,ComplexClass
biz.ganttproject.impex.msproject2.ProjectFileExporter,ComplexClass
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl,ComplexClass
net.sourceforge.ganttproject.gui.options.InterfaceOptionPageProvider,ComplexClass
com.googlecode.ant_deb_task.DesktopEntry,ComplexClass
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel,ComplexClass
net.sourceforge.ganttproject.task.algorithm.AdjustTaskBoundsAlgorithm,ComplexClass
net.sourceforge.ganttproject.gui.UIConfiguration,ComplexClass
net.sourceforge.ganttproject.calendar.CalendarEditorPanel,ComplexClass
net.sourceforge.ganttproject.TaskTreeImageGenerator,ComplexClass
biz.ganttproject.core.chart.scene.DayGridSceneBuilder,ComplexClass
biz.ganttproject.impex.csv.GanttCSVExport,ComplexClass
net.sourceforge.ganttproject.chart.ChartModelImpl,ComplexClass
net.sourceforge.ganttproject.task.TaskNode,ComplexClass
