FullClassPath,AntiPattern
net.sourceforge.ganttproject.chart.item.TaskNotesChartItem,LazyClass
net.sourceforge.ganttproject.chart.item.TaskNotesChartItem,LazyClass
biz.ganttproject.impex.msproject2.WebStartIDClass,LazyClass
biz.ganttproject.impex.msproject2.WebStartIDClass,LazyClass
org.ganttproject.impex.htmlpdf.WebStartIDClass,LazyClass
org.ganttproject.impex.htmlpdf.WebStartIDClass,LazyClass
org.ganttproject.WebStartIDClass,LazyClass
org.ganttproject.WebStartIDClass,LazyClass
net.sourceforge.ganttproject.action.ArtefactPropertiesAction,LazyClass
net.sourceforge.ganttproject.action.ArtefactPropertiesAction,LazyClass
net.sourceforge.ganttproject.task.dependency.RangeSearchFromKey,LazyClass
net.sourceforge.ganttproject.task.dependency.RangeSearchFromKey,LazyClass
net.sourceforge.ganttproject.task.algorithm.AlgorithmException,LazyClass
net.sourceforge.ganttproject.task.algorithm.AlgorithmException,LazyClass
net.sourceforge.ganttproject.chart.item.TaskRegularAreaChartItem,LazyClass
net.sourceforge.ganttproject.chart.item.TaskRegularAreaChartItem,LazyClass
net.sourceforge.ganttproject.chart.item.TaskProgressChartItem,LazyClass
net.sourceforge.ganttproject.chart.item.TaskProgressChartItem,LazyClass
net.sourceforge.ganttproject.action.ArtefactDeleteAction,LazyClass
net.sourceforge.ganttproject.action.ArtefactDeleteAction,LazyClass
org.w3c.util.InvalidDateException,LazyClass
org.w3c.util.InvalidDateException,LazyClass
org.ganttproject.chart.pert.WebStartIDClass,LazyClass
org.ganttproject.chart.pert.WebStartIDClass,LazyClass
biz.ganttproject.core.option.DefaultFileOption,LazyClass
biz.ganttproject.core.option.DefaultFileOption,LazyClass
net.sourceforge.ganttproject.action.ArtefactNewAction,LazyClass
net.sourceforge.ganttproject.action.ArtefactNewAction,LazyClass
net.sourceforge.ganttproject.task.dependency.RangeSearchToKey,LazyClass
net.sourceforge.ganttproject.task.dependency.RangeSearchToKey,LazyClass
net.sourceforge.ganttproject.document.AbstractURLDocument,LazyClass
net.sourceforge.ganttproject.document.AbstractURLDocument,LazyClass
net.sourceforge.ganttproject.action.view.ViewMenu,LazyClass
net.sourceforge.ganttproject.action.view.ViewMenu,LazyClass
net.sourceforge.ganttproject.chart.item.TimelineLabelChartItem,LazyClass
net.sourceforge.ganttproject.chart.item.TimelineLabelChartItem,LazyClass
net.sourceforge.ganttproject.filter.GanttXMLFileFilter,LazyClass
net.sourceforge.ganttproject.filter.GanttXMLFileFilter,LazyClass
