FullClassPath,AntiPattern
net.sourceforge.ganttproject.client.RssParser,LongMethod
org.w3c.dom.Node[],LongMethod
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessor,LongMethod
net.sourceforge.ganttproject.gui.options.GPOptionChoicePanel,LongMethod
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler,LongMethod
net.sourceforge.ganttproject.chart.export.ChartImageBuilder,LongMethod
biz.ganttproject.core.chart.render.TextPainter,LongMethod
biz.ganttproject.impex.msproject2.CustomPropertyMappingTest,LongMethod
net.sourceforge.ganttproject.task.algorithm.CostAlgorithmTest,LongMethod
net.sourceforge.ganttproject.GanttGraphicArea,LongMethod
org.ganttproject.impex.htmlpdf.StylesheetFactoryImpl,LongMethod
net.sourceforge.ganttproject.export.ExporterToCSV,LongMethod
net.sourceforge.ganttproject.gui.projectwizard.WeekendConfigurationPage,LongMethod
biz.ganttproject.core.chart.canvas.FontChooser,LongMethod
org.ganttproject.impex.htmlpdf.ExporterToHTML,LongMethod
net.sourceforge.ganttproject.test.task.hierarchy.TestTaskDocumentOrder,LongMethod
org.ganttproject.impex.htmlpdf.itext.ITextEngine,LongMethod
net.sourceforge.ganttproject.gui.options.InterfaceOptionPageProvider,LongMethod
net.sourceforge.ganttproject.GanttResourcePanel,LongMethod
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl,LongMethod
org.ganttproject.chart.pert.ActivityOnNodePertChart,LongMethod
org.ganttproject.chart.pert.ActivityOnNodePertChart,LongMethod
net.sourceforge.ganttproject.util.BrowserControl,LongMethod
net.sourceforge.ganttproject.gui.TestGanttRolloverButton,LongMethod
biz.ganttproject.core.chart.scene.gantt.DependencySceneBuilder,LongMethod
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessorTest,LongMethod
net.sourceforge.ganttproject.customProperty.CustomPropertyImportTest,LongMethod
net.sourceforge.ganttproject.gui.about.AboutDialog2,LongMethod
net.sourceforge.ganttproject.print.PrintPreview,LongMethod
net.sourceforge.ganttproject.chart.OffsetManagerTest,LongMethod
net.sourceforge.ganttproject.chart.ResourceLoadRenderer,LongMethod
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressRulerTest,LongMethod
net.sourceforge.ganttproject.parser.AllocationTagHandler,LongMethod
net.sourceforge.ganttproject.resource.LoadDistributionTest,LongMethod
org.ganttproject.impex.htmlpdf.itext.FontSubstitutionPanel,LongMethod
net.sourceforge.ganttproject.chart.ChartModelBase,LongMethod
net.sourceforge.ganttproject.io.CalendarSaver,LongMethod
net.sourceforge.ganttproject.test.task.TestCriticalPath,LongMethod
biz.ganttproject.core.chart.render.RectangleRenderer,LongMethod
net.sourceforge.ganttproject.calendar.CalendarEditorPanel,LongMethod
net.sourceforge.ganttproject.calendar.CalendarEditorPanel,LongMethod
com.googlecode.ant_deb_task.DesktopEntry,LongMethod
net.sourceforge.ganttproject.gui.options.WeekendsSettingsPanel,LongMethod
net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel,LongMethod
net.sourceforge.ganttproject.chart.DependencyInteractionRenderer,LongMethod
biz.ganttproject.impex.msproject2.ProjectFileExporter,LongMethod
net.sourceforge.ganttproject.calendar.GPCalendarProvider,LongMethod
net.sourceforge.ganttproject.search.SearchDialog,LongMethod
net.sourceforge.ganttproject.gui.TextFieldAndFileChooserComponent,LongMethod
net.sourceforge.ganttproject.document.webdav.FilesCellRenderer,LongMethod
biz.ganttproject.desktop.DesktopAdapter,LongMethod
net.sourceforge.ganttproject.test.task.dependency.TestRecalculateTaskScheduleAlgorithm,LongMethod
net.sourceforge.ganttproject.application.MainApplication,LongMethod
biz.ganttproject.impex.csv.GanttCSVOpen,LongMethod
net.sourceforge.ganttproject.export.ExporterBase,LongMethod
net.sourceforge.ganttproject.parser.ResourceTagHandler,LongMethod
net.sourceforge.ganttproject.parser.DependencyTagHandler,LongMethod
net.sourceforge.ganttproject.chart.ChartModelImpl,LongMethod
net.sourceforge.ganttproject.task.algorithm.SchedulerTest,LongMethod
net.sourceforge.ganttproject.gui.UIUtil,LongMethod
net.sourceforge.ganttproject.gui.UIUtil,LongMethod
net.sourceforge.ganttproject.chart.overview.GPToolbar,LongMethod
net.sourceforge.ganttproject.export.FileChooserPage,LongMethod
net.sourceforge.ganttproject.document.webdav.MiltonResourceImpl,LongMethod
net.sourceforge.ganttproject.GPTreeTableBase,LongMethod
net.sourceforge.ganttproject.chart.TaskRendererImpl2,LongMethod
net.sourceforge.ganttproject.chart.gantt.ClipboardContents,LongMethod
net.sourceforge.ganttproject.test.task.dependency.Test1362749,LongMethod
net.sourceforge.ganttproject.ResourceTreeImageGenerator,LongMethod
net.sourceforge.ganttproject.export.ExporterChooserPage,LongMethod
biz.ganttproject.impex.csv.CsvImportTest,LongMethod
net.sourceforge.ganttproject.test.task.dependency.TestDependencyFormatting,LongMethod
net.sourceforge.ganttproject.test.task.dependency.TestDependencyActivityBinding,LongMethod
net.sourceforge.ganttproject.language.CharSetMap,LongMethod
net.sourceforge.ganttproject.gui.taskproperties.ResourcesTableModel,LongMethod
net.sourceforge.ganttproject.GanttTreeTable,LongMethod
biz.ganttproject.impex.msproject2.CustomPropertyMapping,LongMethod
net.sourceforge.ganttproject.GPTransferable,LongMethod
net.sourceforge.ganttproject.document.webdav.HttpDocument,LongMethod
org.ganttproject.impex.htmlpdf.fonts.TTFontCache,LongMethod
net.sourceforge.ganttproject.client.RssFeedChecker,LongMethod
net.sourceforge.ganttproject.export.CommandLineExportApplication,LongMethod
net.sourceforge.ganttproject.PluginPreferencesImpl,LongMethod
net.sourceforge.ganttproject.io.GanttChartViewSaver,LongMethod
com.googlecode.ant_deb_task.BuildDeb,LongMethod
net.sourceforge.ganttproject.language.GanttLanguage,LongMethod
net.sourceforge.ganttproject.TaskContainmentHierarchyFacadeImpl,LongMethod
net.sourceforge.ganttproject.print.GanttPrintable,LongMethod
net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyItem,LongMethod
net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyItem[],LongMethod
net.sourceforge.ganttproject.chart.TaskRendererImplTest,LongMethod
net.sourceforge.ganttproject.action.project.ProjectPreviewAction,LongMethod
net.sourceforge.ganttproject.document.NetworkOptionPageProvider,LongMethod
net.sourceforge.ganttproject.gui.taskproperties.TaskScheduleDatesPanel,LongMethod
net.sourceforge.ganttproject.roles.RoleManagerImpl,LongMethod
net.sourceforge.ganttproject.document.webdav.WebDavProxyTest,LongMethod
biz.ganttproject.impex.csv.GPCsvExportTest,LongMethod
net.sourceforge.ganttproject.document.DocumentCreator,LongMethod
net.sourceforge.ganttproject.gui.DialogAligner,LongMethod
net.sourceforge.ganttproject.document.webdav.WebDavStorageImpl,LongMethod
net.sourceforge.ganttproject.gui.taskproperties.TaskAllocationsPanel,LongMethod
net.sourceforge.ganttproject.UIFacadeImpl,LongMethod
net.sourceforge.ganttproject.test.task.hierarchy.TestTaskIndentOutdent,LongMethod
net.sourceforge.ganttproject.action.task.TaskDeleteAction,LongMethod
net.sourceforge.ganttproject.chart.gantt.MouseListenerImpl,LongMethod
net.sourceforge.ganttproject.parser.HolidayTagHandler,LongMethod
net.sourceforge.ganttproject.parser.HolidayTagHandler,LongMethod
biz.ganttproject.impex.csv.GPCsvImportTest,LongMethod
biz.ganttproject.impex.csv.ResourceRecords,LongMethod
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel,LongMethod
net.sourceforge.ganttproject.chart.SimpleRenderedImage,LongMethod
net.sourceforge.ganttproject.GPTreeTransferHandler,LongMethod
net.sourceforge.ganttproject.gui.ProjectUIFacadeImpl,LongMethod
biz.ganttproject.impex.ical.IcsFileImporter,LongMethod
net.sourceforge.ganttproject.GanttTree2,LongMethod
net.sourceforge.ganttproject.TaskTreeImageGenerator,LongMethod
net.sourceforge.ganttproject.resource.LoadDistribution,LongMethod
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl,LongMethod
net.sourceforge.ganttproject.DesktopIntegration,LongMethod
net.sourceforge.ganttproject.task.algorithm.AdjustTaskBoundsAlgorithm,LongMethod
biz.ganttproject.core.chart.scene.DayGridSceneBuilder,LongMethod
net.sourceforge.ganttproject.GPLogger,LongMethod
net.sourceforge.ganttproject.task.algorithm.DependencyGraphTest,LongMethod
net.sourceforge.ganttproject.gui.GanttDialogPerson,LongMethod
net.sourceforge.ganttproject.gui.EditableList,LongMethod
net.sourceforge.ganttproject.task.TaskImpl,LongMethod
net.sourceforge.ganttproject.importer.ImporterFromGanttFile,LongMethod
biz.ganttproject.core.chart.render.Style,LongMethod
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage,LongMethod
net.sourceforge.ganttproject.task.algorithm.DependencyGraph,LongMethod
net.sourceforge.ganttproject.task.algorithm.DependencyGraph,LongMethod
net.sourceforge.ganttproject.GanttSplash,LongMethod
net.sourceforge.ganttproject.export.WebPublisher,LongMethod
net.sourceforge.ganttproject.gui.GanttDialogProperties,LongMethod
biz.ganttproject.core.chart.grid.OffsetManager,LongMethod
biz.ganttproject.core.chart.grid.OffsetBuilderImpl,LongMethod
org.ganttproject.impex.htmlpdf.PropertyFetcher,LongMethod
net.sourceforge.ganttproject.gui.NotificationManagerImpl,LongMethod
net.sourceforge.ganttproject.gui.GPColorChooser,LongMethod
net.sourceforge.ganttproject.gui.options.SpringUtilities,LongMethod
biz.ganttproject.impex.msproject2.ImporterFromMsProjectFile,LongMethod
net.sourceforge.ganttproject.test.task.TestTaskCompletionPercentage,LongMethod
net.sourceforge.ganttproject.gui.ListAndFieldsPanel,LongMethod
net.sourceforge.ganttproject.chart.gantt.MouseMotionListenerImpl,LongMethod
biz.ganttproject.core.chart.scene.BottomUnitSceneBuilder,LongMethod
net.sourceforge.ganttproject.gui.ProjectOpenDiagnosticUiFx,LongMethod
net.sourceforge.ganttproject.io.GanttXMLSaver,LongMethod
net.sourceforge.ganttproject.test.task.dependency.TestSupertaskAdjustment,LongMethod
biz.ganttproject.core.chart.scene.TimelineSceneBuilder,LongMethod
biz.ganttproject.core.chart.grid.OffsetLookup,LongMethod
biz.ganttproject.core.chart.grid.OffsetLookup,LongMethod
net.sourceforge.ganttproject.document.webdav.MiltonResourceFactory,LongMethod
net.sourceforge.ganttproject.gui.ProjectOpenDiagnosticImpl,LongMethod
net.sourceforge.ganttproject.test.task.dependency.TestTaskDependencyCommon,LongMethod
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskScheduleAlgorithm,LongMethod
net.sourceforge.ganttproject.resource.HumanResourceManager,LongMethod
net.sourceforge.ganttproject.resource.HumanResourceManager[],LongMethod
biz.ganttproject.core.chart.canvas.Canvas,LongMethod
net.sourceforge.ganttproject.test.task.TestTaskBounds,LongMethod
net.sourceforge.ganttproject.test.task.hierarchy.TestTaskHierarchy,LongMethod
com.googlecode.ant_deb_task.GZipOutputStream,LongMethod
net.sourceforge.ganttproject.test.task.ImportTasksTestCase,LongMethod
net.sourceforge.ganttproject.action.task.TaskMoveEnabledPredicate,LongMethod
biz.ganttproject.core.calendar.WeekendCalendarImpl,LongMethod
net.sourceforge.ganttproject.io.ResourceSaver,LongMethod
net.sourceforge.ganttproject.test.task.TestLocalCriticalPath,LongMethod
