FullClassPath,AntiPattern
net.sourceforge.ganttproject.gui.options.SpringUtilities,LongParameterList
net.sourceforge.ganttproject.shape.PaintCellRenderer,LongParameterList
net.sourceforge.ganttproject.action.edit.EditMenu,LongParameterList
net.sourceforge.ganttproject.task.dependency.TaskDependencyImpl,LongParameterList
net.sourceforge.ganttproject.gui.GanttDialogInfo,LongParameterList
net.sourceforge.ganttproject.chart.gantt.GanttChartController,LongParameterList
biz.ganttproject.core.chart.scene.gantt.TaskActivitySceneBuilder,LongParameterList
biz.ganttproject.core.chart.render.RectangleRenderer,LongParameterList
net.sourceforge.ganttproject.print.PrintPreview,LongParameterList
net.sourceforge.ganttproject.document.webdav.FilesCellRenderer,LongParameterList
net.sourceforge.ganttproject.GanttTask,LongParameterList
net.sourceforge.ganttproject.action.project.OpenMRUDocumentAction,LongParameterList
biz.ganttproject.core.chart.grid.OffsetLookup,LongParameterList
net.sourceforge.ganttproject.importer.ImporterFromGanttFile,LongParameterList
net.sourceforge.ganttproject.TaskTreeImageGeneratorExt,LongParameterList
net.sourceforge.ganttproject.chart.TaskRendererImpl2,LongParameterList
net.sourceforge.ganttproject.task.algorithm.AlgorithmCollection,LongParameterList
net.sourceforge.ganttproject.chart.mouse.ChangeTaskBoundaryInteraction,LongParameterList
net.sourceforge.ganttproject.document.webdav.GanttURLChooser,LongParameterList
net.sourceforge.ganttproject.chart.mouse.ChangeTaskProgressInteraction,LongParameterList
net.sourceforge.ganttproject.document.ProxyDocument,LongParameterList
net.sourceforge.ganttproject.task.event.TaskScheduleEvent,LongParameterList
biz.ganttproject.core.chart.canvas.DummySpatialIndex,LongParameterList
net.sourceforge.ganttproject.gui.EditableList,LongParameterList
net.sourceforge.ganttproject.chart.ResourceLoadRenderer,LongParameterList
net.sourceforge.ganttproject.gui.UIUtil,LongParameterList
net.sourceforge.ganttproject.chart.mouse.DrawDependencyInteraction,LongParameterList
net.sourceforge.ganttproject.chart.gantt.ClipboardTaskProcessor,LongParameterList
net.sourceforge.ganttproject.chart.export.RenderedChartImage,LongParameterList
net.sourceforge.ganttproject.action.resource.ResourceDeleteAction,LongParameterList
net.sourceforge.ganttproject.action.edit.PasteAction,LongParameterList
biz.ganttproject.impex.csv.GanttCSVOpen,LongParameterList
biz.ganttproject.core.calendar.GPCalendarBase,LongParameterList
biz.ganttproject.core.chart.grid.Offset,LongParameterList
net.sourceforge.ganttproject.GanttChartTabContentPanel,LongParameterList
net.sourceforge.ganttproject.UIFacadeImpl,LongParameterList
net.sourceforge.ganttproject.gui.GanttTabbedPane,LongParameterList
net.sourceforge.ganttproject.TreeTableCellEditorImpl,LongParameterList
net.sourceforge.ganttproject.action.view.ViewMenu,LongParameterList
net.sourceforge.ganttproject.chart.ChartModelResource,LongParameterList
net.sourceforge.ganttproject.wizard.AbstractFileChooserPage,LongParameterList
net.sourceforge.ganttproject.GanttPreviousStateTask,LongParameterList
biz.ganttproject.core.chart.render.TextPainter,LongParameterList
biz.ganttproject.core.chart.scene.BottomUnitSceneBuilder,LongParameterList
net.sourceforge.ganttproject.action.task.TaskActionBase,LongParameterList
net.sourceforge.ganttproject.io.GanttXMLSaver,LongParameterList
net.sourceforge.ganttproject.export.DeprecatedProjectExportData,LongParameterList
net.sourceforge.ganttproject.chart.overview.GPToolbar,LongParameterList
org.ganttproject.chart.pert.ActivityOnNodePertChart,LongParameterList
biz.ganttproject.core.calendar.CalendarEvent,LongParameterList
net.sourceforge.ganttproject.action.task.TaskDeleteAction,LongParameterList
net.sourceforge.ganttproject.chart.mouse.ChangeTaskStartInteraction,LongParameterList
org.ganttproject.impex.htmlpdf.itext.ChartWriter,LongParameterList
biz.ganttproject.impex.msproject2.ProjectFileImporter,LongParameterList
net.sourceforge.ganttproject.io.TaskSaver,LongParameterList
biz.ganttproject.core.chart.grid.OffsetBuilderImpl,LongParameterList
net.sourceforge.ganttproject.GanttGraphicArea,LongParameterList
net.sourceforge.ganttproject.search.SearchResult,LongParameterList
org.ganttproject.impex.htmlpdf.itext.ThemeImpl,LongParameterList
net.sourceforge.ganttproject.action.resource.ResourceActionSet,LongParameterList
net.sourceforge.ganttproject.parser.TaskDisplayColumnsTagHandler,LongParameterList
net.sourceforge.ganttproject.action.scroll.ScrollTimeIntervalAction,LongParameterList
net.sourceforge.ganttproject.task.TaskImpl,LongParameterList
net.sourceforge.ganttproject.resource.LoadDistribution,LongParameterList
net.sourceforge.ganttproject.chart.gantt.MouseListenerImpl,LongParameterList
biz.ganttproject.core.chart.render.ShapePaint,LongParameterList
net.sourceforge.ganttproject.chart.mouse.MoveTaskInteractions,LongParameterList
biz.ganttproject.impex.msproject2.ProjectFileExporter,LongParameterList
