FullClassPath,AntiPattern
org.gjt.sp.jedit.bsh.Interpreter,AntiSingleton
org.gjt.sp.jedit.gui.ShortcutPrefixActiveEvent,AntiSingleton
org.gjt.sp.jedit.gui.BufferSwitcher,AntiSingleton
org.gjt.sp.jedit.print.PrintRangeType,AntiSingleton
org.gjt.sp.jedit.bsh.classpath.BshClassPath,AntiSingleton
org.gjt.sp.jedit.gui.KeyEventTranslator,AntiSingleton
org.gjt.sp.jedit.buffer.FoldHandler,AntiSingleton
org.gjt.sp.util.Log,AntiSingleton
org.gjt.sp.jedit.menu.EnhancedMenuItem,AntiSingleton
org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassWriter,AntiSingleton
org.gjt.sp.jedit.bsh.Types,AntiSingleton
org.gjt.sp.jedit.textarea.TextArea,AntiSingleton
org.gjt.sp.jedit.input.AbstractInputHandler,AntiSingleton
org.gjt.sp.jedit.print.PrinterDialog,AntiSingleton
org.gjt.sp.util.SyntaxUtilities,AntiSingleton
org.gjt.sp.jedit.MiscUtilities,AntiSingleton
org.gjt.sp.jedit.bsh.Primitive,AntiSingleton
org.gjt.sp.jedit.browser.FileCellRenderer,AntiSingleton
org.gjt.sp.jedit.gui.DockablePanel,AntiSingleton
org.gjt.sp.jedit.Debug,AntiSingleton
org.gjt.sp.jedit.syntax.ModeProvider,AntiSingleton
org.gjt.sp.jedit.bsh.SimpleNode,AntiSingleton
