FullClassPath,AntiPattern
org.gjt.sp.jedit.syntax.Token,BaseClassShouldBeAbstract
org.gjt.sp.jedit.syntax.Token,BaseClassShouldBeAbstract
org.gjt.sp.jedit.syntax.Token,BaseClassShouldBeAbstract
org.gjt.sp.jedit.io.VFSFile,BaseClassShouldBeAbstract
org.gjt.sp.jedit.io.VFSFile,BaseClassShouldBeAbstract
org.gjt.sp.jedit.io.VFSFile,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.BshMethod,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.BshMethod,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.BshMethod,BaseClassShouldBeAbstract
org.gjt.sp.jedit.OptionGroup,BaseClassShouldBeAbstract
org.gjt.sp.jedit.OptionGroup,BaseClassShouldBeAbstract
org.gjt.sp.jedit.OptionGroup,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.HistoryTextField,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.HistoryTextField,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.HistoryTextField,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.tray.JTrayIcon,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.tray.JTrayIcon,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.tray.JTrayIcon,BaseClassShouldBeAbstract
org.gjt.sp.jedit.textarea.TextAreaMouseHandler,BaseClassShouldBeAbstract
org.gjt.sp.jedit.textarea.TextAreaMouseHandler,BaseClassShouldBeAbstract
org.gjt.sp.jedit.textarea.TextAreaMouseHandler,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.BshClassManager,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.BshClassManager,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.BshClassManager,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.CollectionManager,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.CollectionManager,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.CollectionManager,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.classpath.BshClassLoader,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.classpath.BshClassLoader,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.classpath.BshClassLoader,BaseClassShouldBeAbstract
org.gjt.sp.jedit.syntax.DefaultTokenHandler,BaseClassShouldBeAbstract
org.gjt.sp.jedit.syntax.DefaultTokenHandler,BaseClassShouldBeAbstract
org.gjt.sp.jedit.syntax.DefaultTokenHandler,BaseClassShouldBeAbstract
org.gjt.sp.jedit.visitors.JEditVisitorAdapter,BaseClassShouldBeAbstract
org.gjt.sp.jedit.visitors.JEditVisitorAdapter,BaseClassShouldBeAbstract
org.gjt.sp.jedit.visitors.JEditVisitorAdapter,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.CompletionPopup,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.CompletionPopup,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.CompletionPopup,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.RolloverButton,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.RolloverButton,BaseClassShouldBeAbstract
org.gjt.sp.jedit.gui.RolloverButton,BaseClassShouldBeAbstract
org.gjt.sp.jedit.AbstractOptionPane,BaseClassShouldBeAbstract
org.gjt.sp.jedit.AbstractOptionPane,BaseClassShouldBeAbstract
org.gjt.sp.jedit.AbstractOptionPane,BaseClassShouldBeAbstract
org.gjt.sp.jedit.buffer.JEditBuffer,BaseClassShouldBeAbstract
org.gjt.sp.jedit.buffer.JEditBuffer,BaseClassShouldBeAbstract
org.gjt.sp.jedit.buffer.JEditBuffer,BaseClassShouldBeAbstract
org.gjt.sp.jedit.Mode,BaseClassShouldBeAbstract
org.gjt.sp.jedit.Mode,BaseClassShouldBeAbstract
org.gjt.sp.jedit.Mode,BaseClassShouldBeAbstract
org.jedit.options.OptionTreeModel,BaseClassShouldBeAbstract
org.jedit.options.OptionTreeModel,BaseClassShouldBeAbstract
org.jedit.options.OptionTreeModel,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.UtilEvalError,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.UtilEvalError,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.UtilEvalError,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.EvalError,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.EvalError,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.EvalError,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.NameSpace,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.NameSpace,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.NameSpace,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.This,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.This,BaseClassShouldBeAbstract
org.gjt.sp.jedit.bsh.This,BaseClassShouldBeAbstract
