FullClassPath,AntiPattern
org.gjt.sp.jedit.ActionContext,SpeculativeGenerality
org.gjt.sp.jedit.ActionContext,SpeculativeGenerality
org.gjt.sp.jedit.gui.DockableWindowManager,SpeculativeGenerality
org.gjt.sp.jedit.gui.DockableWindowManager,SpeculativeGenerality
org.gjt.sp.jedit.gui.FilteredListModel,SpeculativeGenerality
org.gjt.sp.jedit.gui.FilteredListModel,SpeculativeGenerality
org.gjt.sp.jedit.JEditActionContext,SpeculativeGenerality
org.gjt.sp.jedit.JEditActionContext,SpeculativeGenerality
org.gjt.sp.jedit.bsh.ClassGenerator,SpeculativeGenerality
org.gjt.sp.jedit.bsh.ClassGenerator,SpeculativeGenerality
org.jedit.migration.OneTimeMigrationService,SpeculativeGenerality
org.jedit.migration.OneTimeMigrationService,SpeculativeGenerality
org.gjt.sp.jedit.bsh.ReflectManager,SpeculativeGenerality
org.gjt.sp.jedit.bsh.ReflectManager,SpeculativeGenerality
org.gjt.sp.jedit.gui.tray.JEditTrayIcon,SpeculativeGenerality
org.gjt.sp.jedit.gui.tray.JEditTrayIcon,SpeculativeGenerality
org.gjt.sp.jedit.print.PrintPreviewPaneUI,SpeculativeGenerality
org.gjt.sp.jedit.print.PrintPreviewPaneUI,SpeculativeGenerality
org.gjt.sp.jedit.gui.InputHandler,SpeculativeGenerality
org.gjt.sp.jedit.gui.InputHandler,SpeculativeGenerality
org.gjt.sp.jedit.buffer.BufferAdapter,SpeculativeGenerality
org.gjt.sp.jedit.buffer.BufferAdapter,SpeculativeGenerality
