FullClassPath,AntiPattern
org.mars_sim.msp.core.person.ai.task.utils.Task,AntiSingleton
org.mars_sim.msp.ui.swing.unit,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.BuildingSalvageMission,AntiSingleton
org.mars_sim.mapdata.MEGDRMapReader,AntiSingleton
org.mars_sim.msp.core.structure.building.function.cooking.PreparingDessert,AntiSingleton
org.mars_sim.msp.core.structure.building.function.PowerSource,AntiSingleton
org.mars_sim.msp.core.structure.building.function.Function,AntiSingleton
org.mars_sim.msp.core.GameManager,AntiSingleton
org.mars_sim.msp.ui.swing.tool.resupply.ResupplyMissionEditingPanel,AntiSingleton
org.mars_sim.msp.core.mars.SurfaceFeatures,AntiSingleton
org.mars_sim.msp.core.structure.building.function.HeatSource,AntiSingleton
org.mars_sim.msp.core.interplanetary.transport.resupply.ResupplyUtil,AntiSingleton
org.mars_sim.msp.ui.swing.tool.time.CalendarProgram,AntiSingleton
org.mars_sim.msp.core.structure.PowerGrid,AntiSingleton
org.mars_sim.main.MarsProject,AntiSingleton
org.mars_sim.msp.core.structure.goods.GoodsManager,AntiSingleton
org.mars_sim.msp.core.structure.building.function.PowerStorage,AntiSingleton
org.mars_sim.msp.ui.swing.sound.AudioPlayer,AntiSingleton
org.mars_sim.msp.core.UnitManager,AntiSingleton
org.mars_sim.mapdata.IntegerMapData,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.BuildingConstructionMission,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.CollectResourcesMission,AntiSingleton
org.mars_sim.msp.core.person.ai.task.LoadVehicleGarage,AntiSingleton
org.mars_sim.msp.core.person.ai.role.RoleUtil,AntiSingleton
org.mars_sim.msp.ui.javafx.nsmenufx.StandardMacApp,AntiSingleton
org.mars_sim.msp.core.structure.building.function.SolarHeatSource,AntiSingleton
org.mars_sim.msp.core.structure.building.function.cooking.Cooking,AntiSingleton
org.mars_sim.msp.core.equipment.EVASuit,AntiSingleton
org.mars_sim.mapdata.AppVersion,AntiSingleton
org.mars_sim.msp.ui.javafx.mainmenu.MainMenu,AntiSingleton
org.mars_sim.msp.ui.swing.tool.guide.GuideWindow,AntiSingleton
org.mars_sim.msp.core.person.ai.task.meta.ReviewJobReassignmentMeta,AntiSingleton
org.mars_sim.msp.core.robot.SystemCondition,AntiSingleton
org.mars_sim.msp.ui.swing.tool.monitor.UnitTableModel,AntiSingleton
org.mars_sim.javafx.GroupLayoutPane,AntiSingleton
org.mars_sim.msp.core.time.AutosaveScheduler,AntiSingleton
org.mars_sim.msp.ui.swing.tool.monitor.TradeTableModel,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.VehicleMission,AntiSingleton
org.mars_sim.javafx.MainScene,AntiSingleton
org.mars_sim.msp.ui.javafx.config.SettlementTable,AntiSingleton
org.mars_sim.msp.core.resource.ResourceUtil,AntiSingleton
org.mars_sim.msp.ui.swing.tool.resupply.TransportItemEditingPanel,AntiSingleton
org.mars_sim.msp.ui.javafx.notification.PNotification,AntiSingleton
org.mars_sim.msp.core.tool.SFMT19937,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.RoverMission,AntiSingleton
org.mars_sim.msp.ui.swing.tool.settlement.SettlementWindow,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.Mission,AntiSingleton
org.mars_sim.javafx.tools.LongDemo,AntiSingleton
org.mars_sim.msp.ui.swing.tool.mission.create.WizardPanel,AntiSingleton
org.mars_sim.msp.core.resource.ItemResourceUtil,AntiSingleton
org.mars_sim.msp.core.structure.building.function.SolarThermalPowerSource,AntiSingleton
org.mars_sim.msp.core.structure.building.function.SolarPowerSource,AntiSingleton
org.mars_sim.msp.core.structure.Airlock,AntiSingleton
org.mars_sim.msp.core.person.ai.mission.TradeUtil,AntiSingleton
org.mars_sim.msp.core.structure.Settlement,AntiSingleton
org.mars_sim.msp.ui.javafx.quotation.QNotification,AntiSingleton
org.mars_sim.msp.ui.swing.toolWindow.ToolWindow,AntiSingleton
org.mars_sim.msp.ui.javafx.tabboard.TabController,AntiSingleton
org.mars_sim.msp.core.robot.ai.job.RobotJob,AntiSingleton
org.mars_sim.mapdata.CompressBitmap,AntiSingleton
org.mars_sim.msp.core.interplanetary.transport.settlement.ArrivingSettlementUtil,AntiSingleton
org.mars_sim.msp.core.structure.building.Building,AntiSingleton
org.mars_sim.msp.core.person.ai.task.MedicalAssistance,AntiSingleton
org.mars_sim.msp.core.Unit,AntiSingleton
org.mars_sim.msp.ui.javafx.callouts.Callout,AntiSingleton
org.mars_sim.msp.ui.swing.tool.mission.create.UnitTableModel,AntiSingleton
org.mars_sim.msp.ui.javafx.config.TableViewCombo,AntiSingleton
org.mars_sim.msp.core.person.ai.job.Job,AntiSingleton
