FullClassPath,AntiPattern
org.mars_sim.msp.core.mars.SurfaceFeatures,ClassDataShouldBePrivate
org.mars_sim.msp.ui.swing.tool.JStatusBar,ClassDataShouldBePrivate
org.mars_sim.msp.core.structure.goods.GoodsManager,ClassDataShouldBePrivate
org.mars_sim.msp.ui.swing.tool.guide.GuideWindow,ClassDataShouldBePrivate
org.mars_sim.msp.core.robot.SystemCondition,ClassDataShouldBePrivate
org.mars_sim.msp.core.equipment.EVASuit,ClassDataShouldBePrivate
org.mars_sim.javafx.tools.JavaFXUtil,ClassDataShouldBePrivate
org.mars_sim.msp.core.person.ai.task.ReviewJobReassignment,ClassDataShouldBePrivate
org.mars_sim.msp.ui.javafx.callouts.Callout,ClassDataShouldBePrivate
org.mars_sim.msp.core.person.ai.task.LoadVehicleGarage,ClassDataShouldBePrivate
org.mars_sim.msp.core.structure.building.function.PowerStorage,ClassDataShouldBePrivate
org.mars_sim.msp.core.astroarts.PlanetElmP1,ClassDataShouldBePrivate
org.mars_sim.msp.core.astroarts.PlanetExpP0,ClassDataShouldBePrivate
org.mars_sim.msp.core.person.ai.MBTIPersonality,ClassDataShouldBePrivate
org.mars_sim.msp.core.person.ai.task.ConnectWithEarth,ClassDataShouldBePrivate
org.mars_sim.msp.core.UnitManager,ClassDataShouldBePrivate
org.mars_sim.msp.core.structure.PowerGrid,ClassDataShouldBePrivate
org.mars_sim.javafx.GroupLayoutPane,ClassDataShouldBePrivate
org.mars_sim.msp.core.interplanetary.transport.settlement.ArrivingSettlementUtil,ClassDataShouldBePrivate
org.mars_sim.msp.core.person.ai.task.ReviewMissionPlan,ClassDataShouldBePrivate
org.mars_sim.msp.core.time.MasterClock,ClassDataShouldBePrivate
org.mars_sim.javafx.MainScene,ClassDataShouldBePrivate
org.mars_sim.msp.core.robot.ai.job.RobotJob,ClassDataShouldBePrivate
org.mars_sim.msp.ui.javafx.config.TableViewCombo,ClassDataShouldBePrivate
org.mars_sim.msp.core.structure.building.function.SolarPowerSource,ClassDataShouldBePrivate
org.mars_sim.mapdata.IntegerMapData,ClassDataShouldBePrivate
org.mars_sim.msp.core.structure.Settlement,ClassDataShouldBePrivate
org.mars_sim.msp.core.resource.ResourceUtil,ClassDataShouldBePrivate
