FullClassPath,AntiPattern
org.mars_sim.msp.core.person.Training,LongParameterList
org.mars_sim.msp.core.vehicle.Vehicle,LongParameterList
org.mars_sim.msp.core.structure.building.function.farming.CropType,LongParameterList
org.mars_sim.msp.core.Unit,LongParameterList
org.mars_sim.msp.core.structure.SettlementConfig,LongParameterList
org.mars_sim.msp.core.person.ai.mission.RoverMission,LongParameterList
org.mars_sim.msp.core.person.ai.task.OperateVehicle,LongParameterList
org.mars_sim.msp.core.malfunction.MalfunctionEvent,LongParameterList
org.mars_sim.msp.ui.javafx.config.SettlementBase,LongParameterList
org.mars_sim.msp.core.astroarts.Comet,LongParameterList
org.mars_sim.msp.core.person.ai.mission.EmergencySupply,LongParameterList
org.mars_sim.msp.core.person.ai.mission.Trade,LongParameterList
org.mars_sim.msp.core.resource.Part,LongParameterList
org.mars_sim.msp.core.resource.ResourceUtil,LongParameterList
org.mars_sim.msp.ui.swing.unit,LongParameterList
org.mars_sim.msp.core.person.ai.mission.Mining,LongParameterList
org.mars_sim.msp.core.person.ai.mission.MeteorologyFieldStudy,LongParameterList
org.mars_sim.msp.ui.swing.MainDesktopManager,LongParameterList
org.mars_sim.msp.core.person.ai.mission.TradeUtil,LongParameterList
org.mars_sim.msp.ui.swing.tool.settlement.VehicleMapLayer,LongParameterList
org.mars_sim.msp.core.person.ai.job.JobHistory,LongParameterList
org.mars_sim.msp.core.resource.AmountResource,LongParameterList
org.mars_sim.msp.core.structure.building.function.BuildingAirlock,LongParameterList
org.mars_sim.msp.core.person.ai.task.LoadVehicleGarage,LongParameterList
org.mars_sim.msp.ui.swing.tool.DropShadowBorder,LongParameterList
org.mars_sim.msp.core.structure.building.BuildingManager,LongParameterList
org.mars_sim.msp.ui.steelseries.rangeslider.RangeSliderUI,LongParameterList
org.mars_sim.msp.core.hazard.HazardEvent,LongParameterList
org.mars_sim.msp.core.mars.DustStorm,LongParameterList
org.mars_sim.msp.ui.swing.tool.settlement.RobotMapLayer,LongParameterList
org.mars_sim.msp.core.structure.BuildingTemplate,LongParameterList
org.mars_sim.msp.core.interplanetary.transport.settlement.ArrivingSettlement,LongParameterList
org.mars_sim.msp.core.person.ai.mission.BiologyFieldStudy,LongParameterList
org.mars_sim.msp.core.mars.SurfaceFeatures,LongParameterList
org.mars_sim.msp.core.tool.SFMT19937j,LongParameterList
org.mars_sim.msp.core.structure.building.function.Function,LongParameterList
org.mars_sim.msp.core.structure.goods.GoodsManager,LongParameterList
org.mars_sim.msp.core.astroarts.PlanetElmP1,LongParameterList
org.mars_sim.msp.ui.swing.tool.settlement.StructureMapLayer,LongParameterList
org.mars_sim.msp.ui.swing.ModalInternalFrame,LongParameterList
org.mars_sim.msp.ui.steelseries.gauges.SparkLine,LongParameterList
org.mars_sim.msp.core.LocalAreaUtil,LongParameterList
org.mars_sim.msp.ui.steelseries.gauges.AbstractLinear,LongParameterList
org.mars_sim.msp.core.astroarts.ATime,LongParameterList
