FullClassPath,AntiPattern
org.pgptool.gui.hintsforusage.ui.HintView,LongMethod
org.pgptool.gui.ui.getkeypassword.GetKeyPasswordManyKeysView,LongMethod
org.pgptool.gui.encryption.implpgp.ArmoredInputSubStream,LongMethod
org.pgptool.gui.ui.createkey.CreateKeyView,LongMethod
org.pgptool.gui.ui.importkey.KeyImporterPm,LongMethod
org.pgptool.gui.ui.encryptone.EncryptOnePm,LongMethod
org.pgptool.gui.ui.decryptone.DecryptOnePm,LongMethod
org.pgptool.gui.ui.getkeypassworddialog.GetKeyPasswordDialogView,LongMethod
org.pgptool.gui.ui.mainframe.MainFrameView,LongMethod
org.pgptool.gui.encryption.implpgp.KeyFilesOperationsPgpImpl,LongMethod
org.pgptool.gui.autoupdate.impl.NewVersionCheckerGitHubImpl,LongMethod
org.jdesktop.swingx.imported.AbstractPainter,LongMethod
org.pgptool.gui.ui.tools.TextEditUxUtils,LongMethod
org.pgptool.gui.ui.encryptbackmultiple.EncryptBackMultipleView,LongMethod
org.pgptool.gui.encryption.implpgp.KeyGeneratorServicePgpImpl,LongMethod
org.pgptool.gui.ui.decryptone.DecryptionDialogParameters,LongMethod
org.pgptool.gui.tools.FileUtilsEx,LongMethod
org.pgptool.gui.tools.FileUtilsEx,LongMethod
org.pgptool.gui.ui.encrypttext.EncryptTextView,LongMethod
org.pgptool.gui.ui.encryptbackmultiple.EncryptBackMultiplePm,LongMethod
org.pgptool.gui.configpairs.impl.ConfigPairsImpl,LongMethod
org.pgptool.gui.tools.singleinstance.SingleInstanceFileBasedImpl,LongMethod
org.pgptool.gui.tempfolderfordecrypted.impl.DecryptedTempFolderImpl,LongMethod
org.pgptool.gui.decryptedlist.api.DecryptedFile,LongMethod
org.pgptool.gui.ui.tools.JreVersion,LongMethod
org.pgptool.gui.ui.keyslist.KeysTableView,LongMethod
org.pgptool.gui.ui.tools.browsefs.FolderChooserDialog,LongMethod
org.pgptool.gui.encryption.implpgp.KeyRingServicePgpImpl,LongMethod
org.pgptool.gui.filecomparison.ChecksumCalculationTask,LongMethod
org.pgptool.gui.ui.tools.geometrymemory.TableColumnsGeometryPersisterImpl,LongMethod
org.pgptool.gui.ui.getkeypassword.GetKeyPasswordOneKeyView,LongMethod
org.pgptool.gui.tools.HttpTools,LongMethod
org.pgptool.gui.ui.tools.ProgressHandlerPmMixinImpl,LongMethod
org.pgptool.gui.ui.mainframe.MainFramePm,LongMethod
org.pgptool.gui.app.EntryPoint,LongMethod
org.pgptool.gui.ui.tools.browsefs.SaveFileChooserDialog,LongMethod
org.pgptool.gui.tools.dirwatcher.SingleDirWatcher,LongMethod
org.pgptool.gui.ui.tools.checklistbox.CheckListCellRenderer,LongMethod
org.pgptool.gui.config.impl.ConfigRepositoryImpl,LongMethod
org.pgptool.gui.ui.about.AboutView,LongMethod
org.pgptool.gui.ui.tools.geometrymemory.ConfigPairsMonitorsDependentImpl,LongMethod
org.pgptool.gui.config.impl.ConfigsBasePathResolverUserHomeImpl,LongMethod
org.pgptool.gui.ui.checkForUpdates.CheckForUpdatesView,LongMethod
org.pgptool.gui.ui.historyquicksearch.HistoryQuickSearchView,LongMethod
org.pgptool.gui.filecomparison.Fingerprint,LongMethod
org.pgptool.gui.ui.root.RootPm,LongMethod
org.pgptool.gui.tools.osnative.OsNativeApiWindowsImpl,LongMethod
org.pgptool.gui.tools.ConsoleExceptionUtils,LongMethod
org.pgptool.gui.hintsforusage.hints.BuyMeCoffeeHint,LongMethod
org.pgptool.gui.ui.keyslist.KeysExporterUiImpl,LongMethod
org.pgptool.gui.ui.tools.browsefs.ExistingFileChooserDialog,LongMethod
