FullClassPath,AntiPattern
com.amaze.filemanager.asynchronous.asynctasks.ReadFileTask,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.Bzip2Extractor,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask,LongMethod
com.amaze.filemanager.filesystem.FileUtil,LongMethod
com.amaze.filemanager.ui.fragments.FtpServerFragment,LongMethod
com.amaze.filemanager.ui.fragments.CompressedExplorerFragment,LongMethod
com.amaze.filemanager.asynchronous.services.EncryptService,LongMethod
com.amaze.filemanager.ui.dialogs.share.ShareTask,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask,LongMethod
com.amaze.filemanager.asynchronous.services.CopyService,LongMethod
com.amaze.filemanager.filesystem.cloud.CloudUtil,LongMethod
com.amaze.filemanager.asynchronous.services.ExtractService,LongMethod
com.amaze.filemanager.filesystem.files.FileUtils,LongMethod
com.amaze.filemanager.ui.fragments.AppsListFragment,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.ssh.SshAuthenticationTask,LongMethod
com.amaze.filemanager.ui.views.RoundedImageView,LongMethod
com.amaze.filemanager.ui.dialogs.SmbSearchDialog,LongMethod
com.amaze.filemanager.filesystem.files.FileListSorter,LongMethod
com.amaze.filemanager.ui.fragments.MainFragment,LongMethod
com.amaze.filemanager.asynchronous.services.DecryptService,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.XzExtractor,LongMethod
com.amaze.filemanager.ui.icons.Icons,LongMethod
com.amaze.filemanager.filesystem.CustomFileObserver,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.TarExtractor,LongMethod
com.amaze.filemanager.asynchronous.services.ZipService,LongMethod
com.amaze.filemanager.asynchronous.services.ftp.FtpService,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.WriteFileAbstraction,LongMethod
com.amaze.filemanager.asynchronous.handlers.FileHandler,LongMethod
com.amaze.filemanager.filesystem.smbstreamer.Streamer,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.RarExtractor,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.SevenZipExtractor,LongMethod
com.amaze.filemanager.ui.fragments.CloudSheetFragment,LongMethod
com.amaze.filemanager.filesystem.compressed.CompressedHelper,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask,LongMethod
com.amaze.filemanager.adapters.CompressedExplorerAdapter,LongMethod
com.amaze.filemanager.ui.activities.TextEditorActivity,LongMethod
com.amaze.filemanager.ui.views.appbar.SearchView,LongMethod
com.amaze.filemanager.ui.views.ScrimInsetsRelativeLayout,LongMethod
com.amaze.filemanager.utils.OTGUtil,LongMethod
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils,LongMethod
com.amaze.filemanager.utils.DataUtils,LongMethod
com.amaze.filemanager.filesystem.cloud.CloudStreamer,LongMethod
com.amaze.filemanager.ui.colors.ColorUtils,LongMethod
com.amaze.filemanager.ui.fragments.preference_fragments.ColorPref,LongMethod
com.amaze.filemanager.ui.fragments.ProcessViewerFragment,LongMethod
com.amaze.filemanager.filesystem.HybridFile,LongMethod
com.amaze.filemanager.ui.activities.PreferencesActivity,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.ZipExtractor,LongMethod
com.amaze.filemanager.adapters.AppsAdapter,LongMethod
com.amaze.filemanager.ui.dialogs.ColorPickerDialog,LongMethod
com.amaze.filemanager.crashreport.ErrorActivity,LongMethod
com.amaze.filemanager.filesystem.MediaStoreHack,LongMethod
com.amaze.filemanager.filesystem.RootHelper,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.GzipExtractor,LongMethod
com.amaze.filemanager.ui.fragments.TabFragment,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.MoveFiles,LongMethod
com.amaze.filemanager.ui.notifications.NotificationConstants,LongMethod
com.amaze.filemanager.asynchronous.asynctasks.compress.ZipHelperTask,LongMethod
com.amaze.filemanager.ui.activities.AboutActivity,LongMethod
com.amaze.filemanager.utils.MainActivityHelper,LongMethod
com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.LzmaExtractor,LongMethod
com.amaze.filemanager.utils.SubnetScanner,LongMethod
com.amaze.filemanager.asynchronous.services.AbstractProgressiveService,LongMethod
com.amaze.filemanager.asynchronous.loaders.AppListLoader,LongMethod
