FullClassPath,AntiPattern
de.danoeh.antennapod.view.SquareImageView,ComplexClass
de.danoeh.antennapod.fragment.FeedInfoFragment,ComplexClass
de.danoeh.antennapod.activity.PreferenceActivity,ComplexClass
de.danoeh.antennapod.core.service.playback.PlaybackService,ComplexClass
de.danoeh.antennapod.fragment.AudioPlayerFragment,ComplexClass
de.danoeh.antennapod.core.service.download.HttpDownloader,ComplexClass
de.danoeh.antennapod.core.preferences.PlaybackPreferences,ComplexClass
de.danoeh.antennapod.fragment.DownloadsFragment,ComplexClass
de.danoeh.antennapod.core.storage.DBWriter,ComplexClass
de.danoeh.antennapod.activity.MediaplayerActivity,ComplexClass
de.danoeh.antennapod.view.viewholder.EpisodeItemViewHolder,ComplexClass
de.danoeh.antennapod.core.syndication.namespace.atom.NSAtom,ComplexClass
de.danoeh.antennapod.fragment.EpisodesFragment,ComplexClass
de.danoeh.antennapod.core.service.playback.PlaybackServiceMediaPlayer,ComplexClass
de.danoeh.antennapod.activity.OnlineFeedViewActivity,ComplexClass
de.danoeh.antennapod.adapter.NavListAdapter,ComplexClass
de.danoeh.antennapod.core.service.playback.ExoPlayerWrapper,ComplexClass
de.danoeh.antennapod.core.sync.gpoddernet.GpodnetService,ComplexClass
de.danoeh.antennapod.fragment.ItemFragment,ComplexClass
de.danoeh.antennapod.core.service.playback.PlaybackServiceTaskManager,ComplexClass
de.danoeh.antennapod.core.sync.SyncService,ComplexClass
de.danoeh.antennapod.activity.MainActivity,ComplexClass
de.danoeh.antennapod.core.storage.ItemEnqueuePositionCalculator,ComplexClass
de.danoeh.antennapod.core.syndication.handler.TypeGetter,ComplexClass
de.danoeh.antennapod.fragment.QueueFragment,ComplexClass
de.danoeh.antennapod.core.storage.PodDBAdapter,ComplexClass
de.danoeh.antennapod.core.feed.Feed,ComplexClass
de.danoeh.antennapod.core.feed.FeedMedia,ComplexClass
de.danoeh.antennapod.fragment.EpisodesListFragment,ComplexClass
de.danoeh.antennapod.core.sync.SyncService,ComplexClass
de.danoeh.antennapod.activity.MediaplayerActivity,ComplexClass
de.danoeh.antennapod.core.feed.FeedItem,ComplexClass
de.danoeh.antennapod.fragment.DownloadLogFragment,ComplexClass
de.danoeh.antennapod.core.service.download.DownloadServiceNotification,ComplexClass
de.danoeh.antennapod.core.export.opml.OpmlReader,ComplexClass
de.danoeh.antennapod.activity.OpmlFeedChooserActivity,ComplexClass
de.danoeh.antennapod.core.service.playback.LocalPSMP,ComplexClass
de.danoeh.antennapod.core.feed.FeedItemFilter,ComplexClass
de.danoeh.antennapod.core.storage.PodDBAdapter,ComplexClass
de.danoeh.antennapod.core.feed.FeedPreferences,ComplexClass
de.danoeh.antennapod.menuhandler.FeedItemMenuHandler,ComplexClass
de.danoeh.antennapod.activity.MainActivity,ComplexClass
de.danoeh.antennapod.core.storage.DBUpgrader,ComplexClass
de.danoeh.antennapod.core.preferences.UserPreferences,ComplexClass
de.danoeh.antennapod.core.service.playback.LocalPSMP,ComplexClass
de.danoeh.antennapod.core.service.download.DownloadService,ComplexClass
de.danoeh.antennapod.activity.OnlineFeedViewActivity,ComplexClass
de.danoeh.antennapod.core.feed.SubscriptionsFilter,ComplexClass
de.danoeh.antennapod.fragment.ItemFragment,ComplexClass
de.danoeh.antennapod.fragment.gpodnet.GpodnetMainFragment,ComplexClass
de.danoeh.antennapod.core.syndication.namespace.atom.NSAtom,ComplexClass
de.danoeh.antennapod.preferences.PreferenceUpgrader,ComplexClass
