FullClassPath,AntiPattern
de.danoeh.antennapod.fragment.QuickFeedDiscoveryFragment,LongMethod
de.danoeh.antennapod.fragment.preferences.AutoDownloadPreferencesFragment,LongMethod
de.danoeh.antennapod.core.feed.FeedPreferences,LongMethod
de.danoeh.antennapod.core.sync.SyncService,LongMethod
de.danoeh.antennapod.core.storage.DBReader,LongMethod
de.danoeh.antennapod.core.feed.FeedMedia,LongMethod
de.danoeh.antennapod.core.util.FeedItemPermutors,LongMethod
de.danoeh.antennapod.adapter.SubscriptionsAdapter,LongMethod
de.danoeh.antennapod.core.service.download.DownloadService,LongMethod
de.danoeh.antennapod.core.feed.SubscriptionsFilter,LongMethod
de.danoeh.antennapod.core.util.ChapterUtils,LongMethod
de.danoeh.antennapod.dialog.FilterDialog,LongMethod
de.danoeh.antennapod.core.sync.gpoddernet.GpodnetService,LongMethod
de.danoeh.antennapod.adapter.gpodnet.PodcastListAdapter,LongMethod
de.danoeh.antennapod.fragment.PlaybackHistoryFragment,LongMethod
de.danoeh.antennapod.dialog.SubscriptionsFilterDialog,LongMethod
de.danoeh.antennapod.core.feed.LocalFeedUpdater,LongMethod
de.danoeh.antennapod.activity.DownloadAuthenticationActivity,LongMethod
de.danoeh.antennapod.fragment.preferences.ImportExportPreferencesFragment,LongMethod
de.danoeh.antennapod.activity.MediaplayerActivity,LongMethod
de.danoeh.antennapod.fragment.SubscriptionFragment,LongMethod
de.danoeh.antennapod.core.service.playback.LocalPSMP,LongMethod
de.danoeh.antennapod.core.sync.model.EpisodeAction,LongMethod
de.danoeh.antennapod.fragment.ItemPagerFragment,LongMethod
de.danoeh.antennapod.adapter.FeedItemlistDescriptionAdapter,LongMethod
de.danoeh.antennapod.core.service.download.handler.FeedParserTask,LongMethod
de.danoeh.antennapod.core.feed.ChapterMerger,LongMethod
de.danoeh.antennapod.core.service.download.handler.MediaDownloadedHandler,LongMethod
de.danoeh.antennapod.preferences.PreferenceUpgrader,LongMethod
de.danoeh.antennapod.core.feed.FeedItem,LongMethod
de.danoeh.antennapod.activity.WidgetConfigActivity,LongMethod
de.danoeh.antennapod.menuhandler.FeedItemMenuHandler,LongMethod
de.danoeh.antennapod.fragment.gpodnet.PodcastListFragment,LongMethod
de.danoeh.antennapod.core.storage.DownloadRequester,LongMethod
de.danoeh.antennapod.fragment.ItemFragment,LongMethod
de.danoeh.antennapod.activity.VideoplayerActivity,LongMethod
de.danoeh.antennapod.core.export.favorites.FavoritesWriter,LongMethod
de.danoeh.antennapod.core.storage.DBWriter,LongMethod
de.danoeh.antennapod.core.service.BasicAuthorizationInterceptor,LongMethod
de.danoeh.antennapod.adapter.itunes.ItunesAdapter,LongMethod
de.danoeh.antennapod.core.syndication.handler.TypeGetter,LongMethod
de.danoeh.antennapod.core.util.NetworkUtils,LongMethod
de.danoeh.antennapod.core.feed.Chapter,LongMethod
de.danoeh.antennapod.adapter.DownloadlistAdapter,LongMethod
de.danoeh.antennapod.discovery.CombinedSearcher,LongMethod
de.danoeh.antennapod.receiver.SPAReceiver,LongMethod
de.danoeh.antennapod.fragment.gpodnet.TagListFragment,LongMethod
de.danoeh.antennapod.fragment.AddFeedFragment,LongMethod
de.danoeh.antennapod.adapter.ChaptersListAdapter,LongMethod
de.danoeh.antennapod.fragment.FeedItemlistFragment,LongMethod
de.danoeh.antennapod.adapter.DownloadLogAdapter,LongMethod
de.danoeh.antennapod.activity.MainActivity,LongMethod
de.danoeh.antennapod.dialog.EpisodesApplyActionFragment,LongMethod
de.danoeh.antennapod.dialog.PlaybackControlsDialog,LongMethod
de.danoeh.antennapod.core.service.download.DownloadServiceNotification,LongMethod
de.danoeh.antennapod.core.service.playback.PlaybackServiceNotificationBuilder,LongMethod
de.danoeh.antennapod.menuhandler.MenuItemUtils,LongMethod
de.danoeh.antennapod.core.export.html.HtmlWriter,LongMethod
de.danoeh.antennapod.core.util.DateUtils,LongMethod
de.danoeh.antennapod.view.ShownotesWebView,LongMethod
de.danoeh.antennapod.core.util.playback.PlaybackController,LongMethod
de.danoeh.antennapod.fragment.EpisodesListFragment,LongMethod
de.danoeh.antennapod.core.service.download.DownloadRequest,LongMethod
de.danoeh.antennapod.view.NestedScrollableHost,LongMethod
