FullClassPath,AntiPattern
org.thoughtcrime.securesms.database.NotInDirectoryException,LazyClass
org.thoughtcrime.securesms.database.NotInDirectoryException,LazyClass
org.thoughtcrime.securesms.components.emoji.AnimatingImageSpan,LazyClass
org.thoughtcrime.securesms.components.emoji.AnimatingImageSpan,LazyClass
org.thoughtcrime.securesms.groups.MembershipNotSuitableForV2Exception,LazyClass
org.thoughtcrime.securesms.groups.MembershipNotSuitableForV2Exception,LazyClass
org.thoughtcrime.securesms.components.reminder.FirstInviteReminder,LazyClass
org.thoughtcrime.securesms.components.reminder.FirstInviteReminder,LazyClass
org.thoughtcrime.securesms.jobmanager.migrations.RecipientIdFollowUpJobMigration2,LazyClass
org.thoughtcrime.securesms.jobmanager.migrations.RecipientIdFollowUpJobMigration2,LazyClass
org.thoughtcrime.securesms.notifications.FailedNotificationBuilder,LazyClass
org.thoughtcrime.securesms.notifications.FailedNotificationBuilder,LazyClass
org.thoughtcrime.securesms.video.VideoSizeException,LazyClass
org.thoughtcrime.securesms.video.VideoSizeException,LazyClass
org.thoughtcrime.securesms.notifications.PendingMessageNotificationBuilder,LazyClass
org.thoughtcrime.securesms.notifications.PendingMessageNotificationBuilder,LazyClass
org.thoughtcrime.securesms.events.ReminderUpdateEvent,LazyClass
org.thoughtcrime.securesms.events.ReminderUpdateEvent,LazyClass
org.thoughtcrime.securesms.database.loaders.MediaLoader,LazyClass
org.thoughtcrime.securesms.database.loaders.MediaLoader,LazyClass
org.thoughtcrime.securesms.groups.GroupInsufficientRightsException,LazyClass
org.thoughtcrime.securesms.groups.GroupInsufficientRightsException,LazyClass
org.thoughtcrime.securesms.TextSecureExpiredException,LazyClass
org.thoughtcrime.securesms.TextSecureExpiredException,LazyClass
org.thoughtcrime.securesms.logging.LogFile,LazyClass
org.thoughtcrime.securesms.logging.LogFile,LazyClass
org.thoughtcrime.securesms.database.DatabaseContentProviders,LazyClass
org.thoughtcrime.securesms.database.DatabaseContentProviders,LazyClass
