FullClassPath,AntiPattern
org.thoughtcrime.securesms.jobs.StickerPackDownloadJob,LongMethod
org.thoughtcrime.securesms.jobs.RefreshPreKeysJob,LongMethod
org.thoughtcrime.securesms.notifications.NotificationState,LongMethod
org.thoughtcrime.securesms.components.TypingStatusRepository,LongMethod
org.thoughtcrime.securesms.BaseUnitTest,LongMethod
org.thoughtcrime.securesms.jobmanager.migrations.RecipientIdJobMigrationTest,LongMethod
org.thoughtcrime.securesms.mediasend.MediaUploadRepository,LongMethod
org.thoughtcrime.securesms.audio.AudioCodec,LongMethod
org.thoughtcrime.securesms.util.views.AdaptiveActionsToolbar,LongMethod
org.thoughtcrime.securesms.imageeditor.renderers.MultiLineTextRenderer,LongMethod
org.thoughtcrime.securesms.net.ContentProxySafetyInterceptor,LongMethod
org.thoughtcrime.securesms.preferences.AppProtectionPreferenceFragment,LongMethod
org.thoughtcrime.securesms.video.ModernEncryptedMediaDataSource,LongMethod
org.thoughtcrime.securesms.jobs.AttachmentDownloadJob,LongMethod
org.thoughtcrime.securesms.preferences.widgets.StorageGraphView,LongMethod
org.thoughtcrime.securesms.phonenumbers.PhoneNumberFormatterTest,LongMethod
org.thoughtcrime.securesms.megaphone.PopupMegaphoneView,LongMethod
org.thoughtcrime.securesms.contactshare.ContactModelMapper,LongMethod
org.thoughtcrime.securesms.components.KeyboardAwareLinearLayout,LongMethod
org.thoughtcrime.securesms.contacts.ContactAccessor,LongMethod
org.thoughtcrime.securesms.imageeditor.model.ElementStack,LongMethod
org.thoughtcrime.securesms.database.model.SmsMessageRecord,LongMethod
org.thoughtcrime.securesms.giph.util.RecyclerViewPositionHelper,LongMethod
org.thoughtcrime.securesms.jobs.PushGroupUpdateJob,LongMethod
org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection,LongMethod
org.thoughtcrime.securesms.mms.IncomingLegacyMmsConnection,LongMethod
org.thoughtcrime.securesms.util.UtilTest,LongMethod
org.thoughtcrime.securesms.components.emoji.MediaKeyboard,LongMethod
org.thoughtcrime.securesms.backup.BackupPassphrase,LongMethod
org.thoughtcrime.securesms.giph.util.InfiniteScrollListener,LongMethod
org.thoughtcrime.securesms.revealable.ViewOnceUtil,LongMethod
org.thoughtcrime.securesms.mms.LegacyMmsConnection,LongMethod
org.thoughtcrime.securesms.database.helpers.RecipientIdCleanupHelper,LongMethod
org.thoughtcrime.securesms.preferences.SmsMmsPreferenceFragment,LongMethod
org.thoughtcrime.securesms.preferences.widgets.LEDColorListPreference,LongMethod
org.thoughtcrime.securesms.notifications.DeleteNotificationReceiver,LongMethod
org.thoughtcrime.securesms.scribbles.VideoEditorHud,LongMethod
org.thoughtcrime.securesms.blurhash.BlurHashDecoder,LongMethod
org.thoughtcrime.securesms.database.StorageKeyDatabase,LongMethod
org.thoughtcrime.securesms.scribbles.ImageEditorStickerSelectActivity,LongMethod
org.thoughtcrime.securesms.jobs.SmsSentJob,LongMethod
org.thoughtcrime.securesms.conversation.ConversationUpdateItem,LongMethod
org.thoughtcrime.securesms.keyvalue.KeyValueDataSetTest,LongMethod
org.thoughtcrime.securesms.groups.v2.processing.GroupStateMapper,LongMethod
org.thoughtcrime.securesms.storage.StorageSyncValidations,LongMethod
org.thoughtcrime.securesms.reactions.ReactionEmojiCountAdapter,LongMethod
org.thoughtcrime.securesms.contacts.RecipientsAdapter,LongMethod
org.thoughtcrime.securesms.contacts.sync.DirectoryHelperV1,LongMethod
org.thoughtcrime.securesms.components.emoji.RecentEmojiPageModel,LongMethod
org.thoughtcrime.securesms.recipients.RecipientIdCache,LongMethod
org.thoughtcrime.securesms.preferences.widgets.ContactPreference,LongMethod
org.thoughtcrime.securesms.jobmanager.JobMigrator,LongMethod
org.thoughtcrime.securesms.MuteDialog,LongMethod
org.thoughtcrime.securesms.MuteDialog,LongMethod
org.thoughtcrime.securesms.video.videoconverter.TextureRender,LongMethod
org.thoughtcrime.securesms.database.helpers.SQLCipherMigrationHelper,LongMethod
org.thoughtcrime.securesms.components.emoji.EmojiPageViewGridAdapter,LongMethod
org.thoughtcrime.securesms.components.emoji.EmojiPageViewGridAdapter,LongMethod
org.thoughtcrime.securesms.jobs.MultiDeviceBlockedUpdateJob,LongMethod
org.thoughtcrime.securesms.conversation.ConversationPopupActivity,LongMethod
org.thoughtcrime.securesms.storage.StorageSyncHelperTest,LongMethod
org.thoughtcrime.securesms.components.AlbumThumbnailView,LongMethod
org.thoughtcrime.securesms.BlockUnblockDialog,LongMethod
org.thoughtcrime.securesms.giph.net.GiphyLoader,LongMethod
org.thoughtcrime.securesms.jobmanager.migrations.SendReadReceiptsJobMigration,LongMethod
org.thoughtcrime.securesms.jobs.AttachmentUploadJob,LongMethod
org.thoughtcrime.securesms.blurhash.BlurHashEncoder,LongMethod
org.thoughtcrime.securesms.logsubmit.SubmitDebugLogRepository,LongMethod
org.thoughtcrime.securesms.imageeditor.model.EditorElement,LongMethod
org.thoughtcrime.securesms.mms.OutgoingLollipopMmsConnection,LongMethod
org.thoughtcrime.securesms.crypto.ClassicDecryptingPartInputStream,LongMethod
org.thoughtcrime.securesms.messagerequests.MessageRequestsBottomView,LongMethod
org.thoughtcrime.securesms.contactshare.SharedContactDetailsActivity,LongMethod
org.thoughtcrime.securesms.database.DraftDatabase,LongMethod
org.thoughtcrime.securesms.mediasend.camerax.TextureViewImplementation,LongMethod
org.thoughtcrime.securesms.crypto.UnidentifiedAccessUtil,LongMethod
org.thoughtcrime.securesms.mediasend.CameraXVideoCaptureHelper,LongMethod
org.thoughtcrime.securesms.stickers.StickerPackPreviewActivity,LongMethod
org.thoughtcrime.securesms.jobs.MultiDeviceGroupUpdateJob,LongMethod
org.thoughtcrime.securesms.backup.FullBackupExporter,LongMethod
org.thoughtcrime.securesms.components.TypingStatusSender,LongMethod
org.thoughtcrime.securesms.mms.SignalGlideModule,LongMethod
org.thoughtcrime.securesms.conversation.ConversationItemSwipeCallback,LongMethod
org.thoughtcrime.securesms.util.PhoneNumberFormatterTest,LongMethod
org.thoughtcrime.securesms.mediasend.camerax.ScaleTypeTransform,LongMethod
org.thoughtcrime.securesms.backup.BackupDialog,LongMethod
org.thoughtcrime.securesms.mediasend.Camera1Controller,LongMethod
org.thoughtcrime.securesms.MessageDetailsActivity,LongMethod
org.thoughtcrime.securesms.util.AttachmentUtil,LongMethod
org.thoughtcrime.securesms.mms.CompatMmsConnection,LongMethod
org.thoughtcrime.securesms.database.SmsMigrator,LongMethod
org.thoughtcrime.securesms.database.SmsMigrator,LongMethod
org.thoughtcrime.securesms.linkpreview.LinkPreviewRepository,LongMethod
org.thoughtcrime.securesms.linkpreview.LinkPreviewRepository,LongMethod
org.thoughtcrime.securesms.groups.v2.GroupCandidateHelper,LongMethod
org.thoughtcrime.securesms.MediaPreviewActivity,LongMethod
org.thoughtcrime.securesms.MediaPreviewActivity,LongMethod
org.thoughtcrime.securesms.jobs.AvatarGroupsV2DownloadJob,LongMethod
org.thoughtcrime.securesms.VerifyIdentityActivity,LongMethod
org.thoughtcrime.securesms.sharing.ShareActivity,LongMethod
org.thoughtcrime.securesms.jobmanager.impl.JsonDataSerializerTest,LongMethod
org.thoughtcrime.securesms.recipients.ui.bottomsheet.RecipientBottomSheetDialogFragment,LongMethod
org.thoughtcrime.securesms.components.MicrophoneRecorderView,LongMethod
org.thoughtcrime.securesms.groups.ui.pendingmemberinvites.PendingMemberInvitesFragment,LongMethod
org.thoughtcrime.securesms.groups.v2.ProfileKeySet,LongMethod
org.thoughtcrime.securesms.jobs.ServiceOutageDetectionJob,LongMethod
org.thoughtcrime.securesms.groups.GroupManagerV1,LongMethod
org.thoughtcrime.securesms.DatabaseMigrationActivity,LongMethod
org.thoughtcrime.securesms.mediasend.camerax.CameraXView,LongMethod
org.thoughtcrime.securesms.providers.BlobProvider,LongMethod
org.thoughtcrime.securesms.jobs.RotateProfileKeyJob,LongMethod
org.thoughtcrime.securesms.components.webrtc.WebRtcCallViewModel,LongMethod
org.thoughtcrime.securesms.util.MemoryFileDescriptor,LongMethod
org.thoughtcrime.securesms.reactions.ReactionsConversationView,LongMethod
org.thoughtcrime.securesms.util.SelectedRecipientsAdapter,LongMethod
org.thoughtcrime.securesms.recipients.LiveRecipientCache,LongMethod
org.thoughtcrime.securesms.jobs.MultiDeviceVerifiedUpdateJob,LongMethod
org.thoughtcrime.securesms.logsubmit.LogSectionPermissions,LongMethod
org.thoughtcrime.securesms.components.camera.CameraView,LongMethod
org.thoughtcrime.securesms.components.emoji.AsciiEmojiView,LongMethod
org.thoughtcrime.securesms.groups.GroupV1MessageProcessor,LongMethod
org.thoughtcrime.securesms.service.SmsDeliveryListener,LongMethod
org.thoughtcrime.securesms.storage.AccountConflictMerger,LongMethod
org.thoughtcrime.securesms.util.FeatureFlags,LongMethod
org.thoughtcrime.securesms.service.KeyCachingService,LongMethod
org.thoughtcrime.securesms.glide.cache.EncryptedCacheEncoder,LongMethod
org.thoughtcrime.securesms.maps.LocationRetriever,LongMethod
org.thoughtcrime.securesms.registration.fragments.RestoreBackupFragment,LongMethod
org.thoughtcrime.securesms.help.HelpFragment,LongMethod
org.thoughtcrime.securesms.help.Feeling,LongMethod
org.thoughtcrime.securesms.webrtc.locks.ProximityLock,LongMethod
org.thoughtcrime.securesms.jobs.TypingSendJob,LongMethod
org.thoughtcrime.securesms.util.UsernameUtil,LongMethod
org.thoughtcrime.securesms.jobs.CleanPreKeysJob,LongMethod
org.thoughtcrime.securesms.backup.FullBackupImporter,LongMethod
org.thoughtcrime.securesms.util.BucketInfo,LongMethod
org.thoughtcrime.securesms.video.videoconverter.OutputSurface,LongMethod
org.thoughtcrime.securesms.preferences.NotificationsPreferenceFragment,LongMethod
org.thoughtcrime.securesms.groups.GroupsV2CapabilityChecker,LongMethod
org.thoughtcrime.securesms.util.Stopwatch,LongMethod
org.thoughtcrime.securesms.components.registration.VerificationCodeView,LongMethod
org.thoughtcrime.securesms.pin.PinRestoreEntryFragment,LongMethod
org.thoughtcrime.securesms.components.webrtc.SurfaceTextureEglRenderer,LongMethod
org.thoughtcrime.securesms.PassphrasePromptActivity,LongMethod
org.thoughtcrime.securesms.ApplicationContext,LongMethod
org.thoughtcrime.securesms.components.BubbleDrawableBuilder,LongMethod
org.thoughtcrime.securesms.providers.MmsBodyProvider,LongMethod
org.thoughtcrime.securesms.util.DateUtils,LongMethod
org.thoughtcrime.securesms.database.MediaDatabase,LongMethod
org.thoughtcrime.securesms.scribbles.ImageEditorFragment,LongMethod
org.thoughtcrime.securesms.keyvalue.GroupsV2AuthorizationSignalStoreCache,LongMethod
org.thoughtcrime.securesms.jobs.PushSendJob,LongMethod
org.thoughtcrime.securesms.util.ExpirationUtil,LongMethod
org.thoughtcrime.securesms.util.Hex,LongMethod
org.thoughtcrime.securesms.jobs.MultiDeviceStickerPackSyncJob,LongMethod
org.thoughtcrime.securesms.components.RemovableEditableMediaView,LongMethod
org.thoughtcrime.securesms.imageeditor.ElementScaleEditSession,LongMethod
org.thoughtcrime.securesms.components.ZoomingImageView,LongMethod
org.thoughtcrime.securesms.contactshare.ContactShareEditActivity,LongMethod
org.thoughtcrime.securesms.providers.PartProvider,LongMethod
org.thoughtcrime.securesms.crypto.ModernDecryptingPartInputStream,LongMethod
org.thoughtcrime.securesms.util.ListPartitionTest,LongMethod
org.thoughtcrime.securesms.components.LabeledEditText,LongMethod
org.thoughtcrime.securesms.conversation.ConversationAdapter,LongMethod
org.thoughtcrime.securesms.video.InMemoryTranscoder,LongMethod
org.thoughtcrime.securesms.video.InMemoryTranscoder,LongMethod
org.thoughtcrime.securesms.video.InMemoryTranscoder,LongMethod
org.thoughtcrime.securesms.notifications.NotificationChannels,LongMethod
org.thoughtcrime.securesms.webrtc.locks.LockManager,LongMethod
org.thoughtcrime.securesms.webrtc.locks.LockState,LongMethod
org.thoughtcrime.securesms.groups.ui.creategroup.details.AddGroupDetailsViewModel,LongMethod
org.thoughtcrime.securesms.jobs.FastJobStorageTest,LongMethod
org.thoughtcrime.securesms.qr.ScanningThread,LongMethod
org.thoughtcrime.securesms.components.AlertView,LongMethod
org.thoughtcrime.securesms.contacts.ArrayListCursor,LongMethod
org.thoughtcrime.securesms.components.emoji.parsing.EmojiTree,LongMethod
org.thoughtcrime.securesms.jobs.RemoteDeleteSendJob,LongMethod
org.thoughtcrime.securesms.components.AudioView,LongMethod
org.thoughtcrime.securesms.camera.OrderEnforcerTest,LongMethod
org.thoughtcrime.securesms.database.ThreadDatabase,LongMethod
org.thoughtcrime.securesms.contacts.sync.FuzzyPhoneNumberHelper,LongMethod
org.thoughtcrime.securesms.contacts.sync.FuzzyPhoneNumberHelper,LongMethod
org.thoughtcrime.securesms.RecipientPreferenceActivity,LongMethod
org.thoughtcrime.securesms.components.MaskView,LongMethod
org.thoughtcrime.securesms.lock.RegistrationLockV1Dialog,LongMethod
org.thoughtcrime.securesms.database.loaders.DeviceListLoader,LongMethod
org.thoughtcrime.securesms.reactions.any.ReactWithAnyEmojiBottomSheetDialogFragment,LongMethod
org.thoughtcrime.securesms.util.BackupUtil,LongMethod
org.thoughtcrime.securesms.util.SmsCharacterCalculator,LongMethod
org.thoughtcrime.securesms.components.webrtc.PercentFrameLayout,LongMethod
org.thoughtcrime.securesms.AppInitialization,LongMethod
org.thoughtcrime.securesms.conversation.AttachmentKeyboard,LongMethod
org.thoughtcrime.securesms.animation.DepthPageTransformer,LongMethod
org.thoughtcrime.securesms.invites.InviteReminderModel,LongMethod
org.thoughtcrime.securesms.contacts.ContactSelectionListAdapter,LongMethod
org.thoughtcrime.securesms.contacts.ContactSelectionListAdapter,LongMethod
org.thoughtcrime.securesms.GroupCreateActivity,LongMethod
org.thoughtcrime.securesms.mediapreview.VideoMediaPreviewFragment,LongMethod
org.thoughtcrime.securesms.mediasend.MediaSendViewModel,LongMethod
org.thoughtcrime.securesms.webrtc.audio.BluetoothStateManager,LongMethod
org.thoughtcrime.securesms.components.registration.CallMeCountDownView,LongMethod
org.thoughtcrime.securesms.service.QuickResponseService,LongMethod
org.thoughtcrime.securesms.scribbles.UriGlideRenderer,LongMethod
org.thoughtcrime.securesms.mediasend.CameraButtonView,LongMethod
org.thoughtcrime.securesms.mediapreview.MediaPreviewViewModel,LongMethod
org.thoughtcrime.securesms.mediasend.camerax.TextureViewMeteringPointFactory,LongMethod
org.thoughtcrime.securesms.conversation.ConversationTitleView,LongMethod
org.thoughtcrime.securesms.registration.fragments.WelcomeFragment,LongMethod
org.thoughtcrime.securesms.webrtc.audio.IncomingRinger,LongMethod
org.thoughtcrime.securesms.sharing.ShareRepository,LongMethod
org.thoughtcrime.securesms.conversationlist.ConversationListFragment,LongMethod
org.thoughtcrime.securesms.PassphraseChangeActivity,LongMethod
org.thoughtcrime.securesms.jobmanager.workmanager.WorkManagerDatabase,LongMethod
org.thoughtcrime.securesms.giph.ui.GiphyActivity,LongMethod
org.thoughtcrime.securesms.jobs.PushDecryptMessageJob,LongMethod
org.thoughtcrime.securesms.jobs.AttachmentCompressionJob,LongMethod
org.thoughtcrime.securesms.jobs.LocalBackupJob,LongMethod
org.thoughtcrime.securesms.jobs.MultiDeviceProfileKeyUpdateJob,LongMethod
org.thoughtcrime.securesms.lock.v2.ConfirmKbsPinFragment,LongMethod
org.thoughtcrime.securesms.database.JobDatabase,LongMethod
org.thoughtcrime.securesms.components.registration.VerificationPinKeyboard,LongMethod
org.thoughtcrime.securesms.crypto.storage.TextSecureIdentityKeyStore,LongMethod
org.thoughtcrime.securesms.jobs.MmsReceiveJob,LongMethod
org.thoughtcrime.securesms.logsubmit.SubmitDebugLogActivity,LongMethod
org.thoughtcrime.securesms.jobs.RefreshOwnProfileJob,LongMethod
org.thoughtcrime.securesms.contacts.ContactIdentityManagerICS,LongMethod
org.thoughtcrime.securesms.mms.MmsRadio,LongMethod
org.thoughtcrime.securesms.jobmanager.migrations.PushProcessMessageQueueJobMigration,LongMethod
org.thoughtcrime.securesms.PassphraseRequiredActionBarActivity,LongMethod
org.thoughtcrime.securesms.migrations.AvatarMigrationJob,LongMethod
