FullClassPath,AntiPattern
org.thoughtcrime.securesms.blurhash.BlurHashDecoder,LongParameterList
org.thoughtcrime.securesms.registration.service.RegistrationService,LongParameterList
org.thoughtcrime.securesms.database.loaders.PagingMediaLoader,LongParameterList
org.thoughtcrime.securesms.lock.SignalPinReminderDialog,LongParameterList
org.thoughtcrime.securesms.jobs.MultiDeviceVerifiedUpdateJob,LongParameterList
org.thoughtcrime.securesms.database.model.ThreadRecord,LongParameterList
org.thoughtcrime.securesms.mediasend.CameraXVideoCaptureHelper,LongParameterList
org.thoughtcrime.securesms.storage.StorageSyncHelper,LongParameterList
org.thoughtcrime.securesms.mediasend.MediaSendVideoFragment,LongParameterList
org.thoughtcrime.securesms.events.WebRtcViewModel,LongParameterList
org.thoughtcrime.securesms.providers.PartProvider,LongParameterList
org.thoughtcrime.securesms.contactshare.ContactFieldAdapter,LongParameterList
org.thoughtcrime.securesms.database.model.NotificationMmsMessageRecord,LongParameterList
org.thoughtcrime.securesms.mms.DocumentSlide,LongParameterList
org.thoughtcrime.securesms.video.videoconverter.VideoThumbnailsRangeSelectorView,LongParameterList
org.thoughtcrime.securesms.jobs.ReactionSendJob,LongParameterList
org.thoughtcrime.securesms.mms.Slide,LongParameterList
org.thoughtcrime.securesms.mediasend.camerax.CameraXView,LongParameterList
org.thoughtcrime.securesms.stickers.StickerManifest,LongParameterList
org.thoughtcrime.securesms.jobs.SmsSentJob,LongParameterList
org.thoughtcrime.securesms.jobs.AttachmentCompressionJob,LongParameterList
org.thoughtcrime.securesms.jobs.FastJobStorage,LongParameterList
org.thoughtcrime.securesms.database.JobDatabase,LongParameterList
org.thoughtcrime.securesms.conversationlist.model.MessageResult,LongParameterList
org.thoughtcrime.securesms.util.WakeLockUtil,LongParameterList
org.thoughtcrime.securesms.blurhash.BlurHashEncoder,LongParameterList
org.thoughtcrime.securesms.contacts.ContactSelectionListAdapter,LongParameterList
org.thoughtcrime.securesms.components.recyclerview.DeleteItemAnimator,LongParameterList
org.thoughtcrime.securesms.database.MmsDatabase,LongParameterList
org.thoughtcrime.securesms.util.IdentityUtil,LongParameterList
org.thoughtcrime.securesms.components.emoji.EmojiPageViewGridAdapter,LongParameterList
org.thoughtcrime.securesms.jobs.MultiDeviceConfigurationUpdateJob,LongParameterList
org.thoughtcrime.securesms.mms.GifSlide,LongParameterList
org.thoughtcrime.securesms.components.TooltipPopup,LongParameterList
org.thoughtcrime.securesms.components.webrtc.WebRtcCallViewModel,LongParameterList
org.thoughtcrime.securesms.backup.FullBackupImporter,LongParameterList
org.thoughtcrime.securesms.mms.OutgoingMediaMessage,LongParameterList
org.thoughtcrime.securesms.imageeditor.model.Bisect,LongParameterList
org.thoughtcrime.securesms.sms.MessageSender,LongParameterList
org.thoughtcrime.securesms.util.MathUtils,LongParameterList
org.thoughtcrime.securesms.mediasend.MediaSendActivityResult,LongParameterList
org.thoughtcrime.securesms.groups.ui.creategroup.details.AddGroupDetailsRepository,LongParameterList
org.thoughtcrime.securesms.conversationlist.ConversationListAdapter,LongParameterList
org.thoughtcrime.securesms.jobs.RemoteDeleteSendJob,LongParameterList
org.thoughtcrime.securesms.database.model.StickerPackRecord,LongParameterList
org.thoughtcrime.securesms.components.emoji.EmojiFilter,LongParameterList
org.thoughtcrime.securesms.mms.OutgoingSecureMediaMessage,LongParameterList
org.thoughtcrime.securesms.components.MaxHeightFrameLayout,LongParameterList
org.thoughtcrime.securesms.database.FlipperSqlCipherAdapter,LongParameterList
org.thoughtcrime.securesms.components.webrtc.TextureViewRenderer,LongParameterList
org.thoughtcrime.securesms.database.SmsDatabase,LongParameterList
org.thoughtcrime.securesms.components.camera.CameraView,LongParameterList
org.thoughtcrime.securesms.database.GroupDatabase,LongParameterList
org.thoughtcrime.securesms.jobs.LeaveGroupJob,LongParameterList
org.thoughtcrime.securesms.video.videoconverter.VideoThumbnailsExtractor,LongParameterList
org.thoughtcrime.securesms.mediasend.MediaFolder,LongParameterList
org.thoughtcrime.securesms.database.model.MmsMessageRecord,LongParameterList
org.thoughtcrime.securesms.util.StickyHeaderDecoration,LongParameterList
org.thoughtcrime.securesms.database.model.DisplayRecord,LongParameterList
org.thoughtcrime.securesms.database.model.MegaphoneRecord,LongParameterList
org.thoughtcrime.securesms.attachments.Attachment,LongParameterList
org.thoughtcrime.securesms.database.model.SmsMessageRecord,LongParameterList
org.thoughtcrime.securesms.components.InputPanel,LongParameterList
org.thoughtcrime.securesms.video.videoconverter.VideoTrackConverter,LongParameterList
org.thoughtcrime.securesms.service.WebRtcCallService,LongParameterList
org.thoughtcrime.securesms.imageeditor.model.EditorElementHierarchy,LongParameterList
org.thoughtcrime.securesms.net.ChunkedDataFetcher,LongParameterList
org.thoughtcrime.securesms.conversation.LastSeenHeader,LongParameterList
org.thoughtcrime.securesms.contacts.ContactSelectionListItem,LongParameterList
org.thoughtcrime.securesms.conversationlist.ConversationListItem,LongParameterList
org.thoughtcrime.securesms.database.SmsMigrator,LongParameterList
org.thoughtcrime.securesms.mms.AttachmentManager,LongParameterList
org.thoughtcrime.securesms.components.emoji.EmojiSpan,LongParameterList
org.thoughtcrime.securesms.insights.InsightsAnimatorSetFactory,LongParameterList
org.thoughtcrime.securesms.attachments.DatabaseAttachment,LongParameterList
org.thoughtcrime.securesms.components.ThumbnailView,LongParameterList
org.thoughtcrime.securesms.mediasend.Media,LongParameterList
org.thoughtcrime.securesms.providers.MmsBodyProvider,LongParameterList
org.thoughtcrime.securesms.conversation.ConversationReactionOverlay,LongParameterList
org.thoughtcrime.securesms.conversationlist.ConversationListItemInboxZero,LongParameterList
org.thoughtcrime.securesms.conversation.ConversationData,LongParameterList
org.thoughtcrime.securesms.contacts.ContactsSyncAdapter,LongParameterList
org.thoughtcrime.securesms.audio.AudioCodec,LongParameterList
org.thoughtcrime.securesms.profiles.edit.EditPushGroupProfileRepository,LongParameterList
org.thoughtcrime.securesms.jobs.SendReadReceiptJob,LongParameterList
org.thoughtcrime.securesms.util.BitmapUtil,LongParameterList
org.thoughtcrime.securesms.contacts.sync.DirectoryHelperV1,LongParameterList
org.thoughtcrime.securesms.profiles.edit.EditSelfProfileRepository,LongParameterList
org.thoughtcrime.securesms.jobs.PushProcessMessageJob,LongParameterList
org.thoughtcrime.securesms.components.webrtc.PercentFrameLayout,LongParameterList
org.thoughtcrime.securesms.permissions.PermissionsRequest,LongParameterList
org.thoughtcrime.securesms.video.videoconverter.AudioTrackConverter,LongParameterList
org.thoughtcrime.securesms.database.model.Quote,LongParameterList
org.thoughtcrime.securesms.conversationlist.ConversationListItemAction,LongParameterList
org.thoughtcrime.securesms.notifications.NotificationItem,LongParameterList
org.thoughtcrime.securesms.mms.OutgoingGroupUpdateMessage,LongParameterList
org.thoughtcrime.securesms.jobmanager.Data,LongParameterList
org.thoughtcrime.securesms.jobs.SmsSendJob,LongParameterList
org.thoughtcrime.securesms.recipients.RecipientDetails,LongParameterList
org.thoughtcrime.securesms.sms.IncomingTextMessage,LongParameterList
org.thoughtcrime.securesms.contacts.RecipientsEditor,LongParameterList
org.thoughtcrime.securesms.mms.ImageSlide,LongParameterList
org.thoughtcrime.securesms.groups.GroupV1MessageProcessor,LongParameterList
org.thoughtcrime.securesms.jobmanager.persistence.JobSpec,LongParameterList
org.thoughtcrime.securesms.conversation.ConversationItemSwipeCallback,LongParameterList
org.thoughtcrime.securesms.database.ThreadDatabase,LongParameterList
org.thoughtcrime.securesms.MessageDetailsRecipientAdapter,LongParameterList
org.thoughtcrime.securesms.registration.service.CodeVerificationRequest,LongParameterList
org.thoughtcrime.securesms.database.model.MessageRecord,LongParameterList
org.thoughtcrime.securesms.attachments.PointerAttachment,LongParameterList
org.thoughtcrime.securesms.components.Outliner,LongParameterList
org.thoughtcrime.securesms.util.task.SnackbarAsyncTask,LongParameterList
org.thoughtcrime.securesms.storage.AccountConflictMerger,LongParameterList
org.thoughtcrime.securesms.components.TypingStatusRepository,LongParameterList
org.thoughtcrime.securesms.mediaoverview.MediaGalleryAllAdapter,LongParameterList
org.thoughtcrime.securesms.mediasend.CameraButtonView,LongParameterList
org.thoughtcrime.securesms.database.IdentityDatabase,LongParameterList
org.thoughtcrime.securesms.jobmanager.JobController,LongParameterList
org.thoughtcrime.securesms.TransportOption,LongParameterList
org.thoughtcrime.securesms.database.model.IncomingSticker,LongParameterList
org.thoughtcrime.securesms.util.Hex,LongParameterList
org.thoughtcrime.securesms.mms.IncomingMediaMessage,LongParameterList
org.thoughtcrime.securesms.imageeditor.renderers.BezierDrawingRenderer,LongParameterList
org.thoughtcrime.securesms.components.webrtc.WebRtcControls,LongParameterList
org.thoughtcrime.securesms.components.emoji.MediaKeyboard,LongParameterList
org.thoughtcrime.securesms.jobs.StickerPackDownloadJob,LongParameterList
org.thoughtcrime.securesms.groups.GroupManagerV1,LongParameterList
org.thoughtcrime.securesms.groups.GroupManager,LongParameterList
org.thoughtcrime.securesms.contacts.ContactsDatabase,LongParameterList
org.thoughtcrime.securesms.backup.FullBackupExporter,LongParameterList
org.thoughtcrime.securesms.conversation.ConversationItem,LongParameterList
org.thoughtcrime.securesms.mms.AudioSlide,LongParameterList
org.thoughtcrime.securesms.notifications.NotificationChannels,LongParameterList
org.thoughtcrime.securesms.database.model.MediaMmsMessageRecord,LongParameterList
org.thoughtcrime.securesms.database.helpers.SQLCipherMigrationHelper,LongParameterList
org.thoughtcrime.securesms.attachments.UriAttachment,LongParameterList
org.thoughtcrime.securesms.BlockUnblockDialog,LongParameterList
