FullClassPath,AntiPattern
com.naman14.timber.activities.DonateActivity,LongMethod
com.naman14.timber.provider.MusicPlaybackState,LongMethod
com.naman14.timber.dataloaders.PlaylistSongLoader,LongMethod
com.naman14.timber.adapters.ArtistAdapter,LongMethod
com.naman14.timber.fragments.PlaylistFragment,LongMethod
com.naman14.timber.adapters.AlbumAdapter,LongMethod
com.naman14.timber.WearBrowserService,LongMethod
com.naman14.timber.adapters.BaseQueueAdapter,LongMethod
com.naman14.timber.fragments.ArtistDetailFragment,LongMethod
com.naman14.timber.utils.ATEUtils,LongMethod
com.naman14.timber.adapters.SongsListAdapter,LongMethod
com.naman14.timber.utils.TimberUtils,LongMethod
com.naman14.timber.adapters.AlbumSongsAdapter,LongMethod
com.naman14.timber.activities.MainActivity,LongMethod
com.naman14.timber.subfragments.SubStyleSelectorFragment,LongMethod
com.naman14.timber.subfragments.QuickControlsFragment,LongMethod
com.naman14.timber.helpers.MediaButtonIntentReceiver,LongMethod
com.naman14.timber.cast.WebServer,LongMethod
com.naman14.timber.widgets.PlayPauseDrawable,LongMethod
com.naman14.timber.fragments.AlbumFragment,LongMethod
com.naman14.timber.adapters.ArtistSongAdapter,LongMethod
com.naman14.timber.fragments.AlbumDetailFragment,LongMethod
com.naman14.timber.nowplaying.BaseNowplayingFragment,LongMethod
com.naman14.timber.permissions.Nammu,LongMethod
com.naman14.timber.MusicService,LongMethod
com.naman14.timber.provider.RecentStore,LongMethod
com.naman14.timber.slidinguppanel.SlidingUpPanelLayout,LongMethod
com.naman14.timber.widgets.DragSortRecycler,LongMethod
com.naman14.timber.utils.LyricsExtractor,LongMethod
com.naman14.timber.provider.SearchHistory,LongMethod
com.naman14.timber.dataloaders.NowPlayingCursor,LongMethod
com.naman14.timber.provider.SongPlayCount,LongMethod
com.naman14.timber.adapters.PlaylistAdapter,LongMethod
com.naman14.timber.fragments.SettingsFragment,LongMethod
