FullClassPath,AntiPattern
com.tweetlanes.android.core.util.LazyImageLoader,LongMethod
org.tweetalib.android.model.TwitterStatuses,LongMethod
com.tweetlanes.android.core.widget.gestureimageview.GestureImageView,LongMethod
com.tweetlanes.android.core.view.ImageViewActivity,LongMethod
com.tweetlanes.android.core.widget.AutoResizeTextView,LongMethod
com.tweetlanes.android.core.model.ComposeTweetDefault,LongMethod
com.tweetlanes.android.core.view.TweetSpotlightActivity,LongMethod
com.tweetlanes.android.core.App,LongMethod
com.tweetlanes.android.core.view.ProfileFragment,LongMethod
com.tweetlanes.android.core.view.TweetSpotlightFragment,LongMethod
com.tweetlanes.android.core.model.AccountDescriptor,LongMethod
com.tweetlanes.android.core.view.ComposeBaseFragment,LongMethod
com.tweetlanes.android.core.widget.gestureimageview.GestureImageViewTouchListener,LongMethod
com.tweetlanes.android.core.dashclock.TweetLanesExtension,LongMethod
com.tweetlanes.android.core.view.BaseLaneActivity,LongMethod
com.tweetlanes.android.core.Notifier,LongMethod
com.tweetlanes.android.core.view.DirectMessageFeedFragment,LongMethod
com.twitter.HitHighlighter,LongMethod
com.tweetlanes.android.core.view.AppDotNetAuthActivity,LongMethod
com.tweetlanes.android.core.AppSettings,LongMethod
com.tweetlanes.android.core.view.TweetFeedFragment,LongMethod
com.twitter.Extractor,LongMethod
com.tweetlanes.android.core.view.ComposeTweetFragment,LongMethod
org.tweetalib.android.model.TwitterStatus,LongMethod
org.tweetalib.android.model.TwitterStatus[],LongMethod
com.tweetlanes.android.core.util.Util,LongMethod
com.tweetlanes.android.core.view.UserFeedFragment,LongMethod
com.tweetlanes.android.core.widget.viewpagerindicator.UnderlinePageIndicator,LongMethod
com.tweetlanes.android.core.widget.gestureimageview.ZoomAnimation,LongMethod
org.tweetalib.android.model.TwitterDirectMessage,LongMethod
com.tweetlanes.android.core.widget.urlimageviewhelper.LruCache,LongMethod
com.twitter.Autolink,LongMethod
com.tweetlanes.android.core.view.HomeActivity,LongMethod
com.tweetlanes.android.core.view.ProfileActivity,LongMethod
com.tweetlanes.android.core.widget.urlimageviewhelper.DiskLruCache,LongMethod
completeEdit,LongMethod
com.tweetlanes.android.core.widget.urlimageviewhelper.DiskLruCache,LongMethod
com.tweetlanes.android.core.view.BootActivity,LongMethod
com.tweetlanes.android.core.widget.pulltorefresh.PullToRefreshBase,LongMethod
com.inscription.ChangeLogDialog,LongMethod
com.tweetlanes.android.core.widget.urlimageviewhelper.HttpUrlDownloader,LongMethod
org.tweetalib.android.model.TwitterMediaEntity,LongMethod
org.tweetalib.android.model.Size[],LongMethod
