FullClassPath,AntiPattern
org.gnucash.android.model.Split,LongMethod
org.gnucash.android.ui.util.CursorRecyclerAdapter,LongMethod
org.gnucash.android.ui.transaction.dialog.TransferFundsDialogFragment,LongMethod
org.gnucash.android.export.csv.CsvTransactionsExporter,LongMethod
org.gnucash.android.ui.transaction.TransactionDetailActivity,LongMethod
org.gnucash.android.export.ExportAsyncTask,LongMethod
org.gnucash.android.importer.ImportAsyncTask,LongMethod
org.gnucash.android.model.Price,LongMethod
org.gnucash.android.ui.colorpicker.ColorPickerPalette,LongMethod
org.gnucash.android.model.Transaction,LongMethod
org.gnucash.android.db.BookDbHelper,LongMethod
org.gnucash.android.ui.report.ReportsOverviewFragment,LongMethod
org.gnucash.android.ui.common.FormActivity,LongMethod
org.gnucash.android.ui.report.sheet.BalanceSheetFragment,LongMethod
org.gnucash.android.service.ScheduledActionService,LongMethod
org.gnucash.android.ui.util.RecurrenceParser,LongMethod
org.gnucash.android.ui.account.DeleteAccountDialogFragment,LongMethod
org.gnucash.android.db.adapter.RecurrenceDbAdapter,LongMethod
org.gnucash.android.export.csv.CsvAccountExporter,LongMethod
org.gnucash.android.db.adapter.SplitsDbAdapter,LongMethod
org.gnucash.android.db.adapter.ScheduledActionDbAdapter,LongMethod
org.gnucash.android.model.Recurrence,LongMethod
org.gnucash.android.importer.GncXmlImporter,LongMethod
org.gnucash.android.ui.passcode.KeyboardFragment,LongMethod
org.gnucash.android.ui.settings.TransactionsPreferenceFragment,LongMethod
org.gnucash.android.ui.report.ReportsActivity,LongMethod
org.gnucash.android.model.Account,LongMethod
org.gnucash.android.ui.colorpicker.HsvColorComparator,LongMethod
org.gnucash.android.ui.settings.AccountPreferencesFragment,LongMethod
org.gnucash.android.ui.settings.dialog.OwnCloudDialogFragment,LongMethod
org.gnucash.android.ui.transaction.TransactionFormFragment,LongMethod
org.gnucash.android.ui.homescreen.WidgetConfigurationActivity,LongMethod
org.gnucash.android.db.adapter.TransactionsDbAdapter,LongMethod
org.gnucash.android.ui.common.BaseDrawerActivity,LongMethod
org.gnucash.android.ui.report.linechart.CashFlowLineChartFragment,LongMethod
org.gnucash.android.ui.transaction.TransactionsActivity,LongMethod
org.gnucash.android.ui.settings.BackupPreferenceFragment,LongMethod
org.gnucash.android.ui.report.piechart.PieChartFragment,LongMethod
org.gnucash.android.db.DatabaseHelper,LongMethod
org.gnucash.android.model.Budget,LongMethod
org.gnucash.android.receivers.TransactionRecorder,LongMethod
org.gnucash.android.ui.util.widget.TransactionTypeSwitch,LongMethod
org.gnucash.android.db.adapter.AccountsDbAdapter,LongMethod
org.gnucash.android.ui.transaction.SplitEditorFragment,LongMethod
org.gnucash.android.app.GnuCashApplication,LongMethod
org.gnucash.android.ui.settings.GeneralPreferenceFragment,LongMethod
