FullClassPath,AntiPattern
com.keepassdroid.crypto.keyDerivation.KdfParameters,ClassDataShouldBePrivate
com.keepassdroid.database.PwDbHeaderV3,ClassDataShouldBePrivate
com.keepassdroid.database.PwDatabaseV4Debug,ClassDataShouldBePrivate
com.keepassdroid.database.save.PwDbHeaderOutputV4,ClassDataShouldBePrivate
com.keepassdroid.settings.AppSettingsFragement,ClassDataShouldBePrivate
com.keepassdroid.compat.StorageAF,ClassDataShouldBePrivate
com.keepassdroid.database.PwIconStandard,ClassDataShouldBePrivate
com.keepassdroid.database.PwDatabaseV4,ClassDataShouldBePrivate
com.keepassdroid.database.PwGroup,ClassDataShouldBePrivate
com.keepassdroid.Database,ClassDataShouldBePrivate
com.keepassdroid.database.PwEntryV3,ClassDataShouldBePrivate
com.keepassdroid.settings.MainSettingsFragement,ClassDataShouldBePrivate
com.keepassdroid.database.PwDatabase,ClassDataShouldBePrivate
com.keepassdroid.database.PwDatabaseV3Debug,ClassDataShouldBePrivate
com.keepassdroid.compat.ContentResolverCompat,ClassDataShouldBePrivate
com.keepassdroid.database.PwGroupV3,ClassDataShouldBePrivate
com.keepassdroid.database.PwGroupV4,ClassDataShouldBePrivate
com.keepassdroid.database.PwEntryV4,ClassDataShouldBePrivate
com.keepassdroid.database.SearchParametersV4,ClassDataShouldBePrivate
com.keepassdroid.database.PwDatabaseV3,ClassDataShouldBePrivate
com.keepassdroid.crypto.keyDerivation.KdfFactory,ClassDataShouldBePrivate
com.keepassdroid.crypto.keyDerivation.KdfEngine,ClassDataShouldBePrivate
com.keepassdroid.database.PwDbHeaderV4,ClassDataShouldBePrivate
com.keepassdroid.settings.DBSettingsFragement,ClassDataShouldBePrivate
com.keepassdroid.database.edit.RunnableOnFinish,ClassDataShouldBePrivate
com.keepassdroid.database.SearchParameters,ClassDataShouldBePrivate
com.keepassdroid.database.PwEntry,ClassDataShouldBePrivate
com.keepassdroid.utils.Types,ClassDataShouldBePrivate
com.keepassdroid.utils.SprContextV4,ClassDataShouldBePrivate
com.keepassdroid.database.PwDeletedObject,ClassDataShouldBePrivate
com.keepassdroid.database.PwDbHeader,ClassDataShouldBePrivate
com.keepassdroid.database.PwIconCustom,ClassDataShouldBePrivate
